# ---------------------------------------------------
# Last Update: verified by Valminder Oct 30, 2003.
# ---------------------------------------------------
#
# SMS
# 06/25/03
# Forgotten Realms Table 48: Northern Barren/Badlands (EL 3-9) random encounter tables
#
# Corrected by Valminder, Oct 2003
#   -{If~} and {Dice~}
#
#Variables

%Region%,0
%Time%,0
%Temp%,0

#Parameters

@Time,1,Select a time of day,Day,Night
@Region,0,Select a value for region (1=Anauroch 2=Tortured Land)

#
#  Starts by putting up the instructions
#

:Start
1,{If~%Region% = 0 ? [Instructions]/[Northern Barren %Time%]}

;Instructions
1,<b>Forgotten Realms Table 48: Northern Barren/Badlands (EL 3-9)</b></br></br><h3>Instructions:</h3>
_<b>Determine whether an encounter should occur before using this table. The chance of an encounter is based on terrain type and travel (chance per hour):</b><br>
_<table border=1><tr><th>Terrain</th><th>Normal Travel</th><th>Cautious Travel</th><th>Hiding</th></tr>
_<tr><td>Desolate/wasteland</td><td>5/%</td><td>2/%</td><td>1/%</td></tr>
_<tr><td>Frontier/wilderness</td><td>8/%</td><td>4/%</td><td>2/%</td></tr>
_<tr><td>Verdant/civilized area</td><td>10/%</td><td>5/%</td><td>2/%</td></tr>
_<tr><td>Heavily traveled</td><td>12/%</td><td>6/%</td><td>3/%</td></tr>
_</table>
_<ol><li>Use the Parameter Box (below) to indicate whether it is day or night.</li>
_<li>Then indicate whether the region is <font color=blue><b>1)</b> Anauroch or <b>2)</b> the Tortured Land</li></ul><br></font>

# 1 corresponds to time="Day"
:Northern Barren 1
01,Annis (hag)
02-04,Arctic Dwarf Hunters: {Dice~1d4+4} 1st level warriors, {Dice~1d3+1} level {Dice~1d3+3} barbarians
05-07,Barghest Pack: {Dice~1d2} barghest and {Dice~1d4+4} goblins
08-09,{Dice~1d3+1} Bugbear
10-13,{Dice~1d2} Dire lion
14,{Dice~1d10+10} Dire rat
15-16,{Dice~1d2} Dire tiger
17-20,{Dice~1d4+4} Dire wolf
21-28,Dragon: [NB_Dragon]
29-33,{Dice~1d4} Ettin
34-39,Frost Giant
40-42,Frost worm
43-45,{Dice~1d3+1} Gargoyle
46,Greenhag
47-52,{Dice~1d2} Hill Giant
53-54,{Dice~1d3+1} Hell hound
55,{Dice~1d2} Hellcat (devil)
56-57,Ibrandlin (MoF)
