# ---------------------------------------------------
# Last Update: verified by Valminder Oct 30, 2003.
# ---------------------------------------------------
#
# SMS
# 06/20/03
# Forgotten Realms Table 23: Northern Hills (EL 4-9) random encounter tables
#
# Corrected by Valminder, Oct 2003
#   -{If~} and {Dice~}
#
#Variables

%Region%,0
%Time%,0
%Temp%,0

#Parameters

@Time,1,Select a time of day,Day,Night
@Region,0,Select a value for region (1=Anauroch 2=Graycloak Hills)

#
#  Starts by putting up the instructions
#

:Start
1,{If~%Region% = 0 ? [Instructions]/[Northern Hills %Time%]}

;Instructions
1,<b>Forgotten Realms Table 23: Northern Hills (EL 4-9)</b></br></br><h3>Instructions:</h3>
_<b>Determine whether an encounter should occur before using this table. The chance of an encounter is based on terrain type and travel (chance per hour):</b><br>
_<table border=1><tr><th>Terrain</th><th>Normal Travel</th><th>Cautious Travel</th><th>Hiding</th></tr>
_<tr><td>Desolate/wasteland</td><td>5/%</td><td>2/%</td><td>1/%</td></tr>
_<tr><td>Frontier/wilderness</td><td>8/%</td><td>4/%</td><td>2/%</td></tr>
_<tr><td>Verdant/civilized area</td><td>10/%</td><td>5/%</td><td>2/%</td></tr>
_<tr><td>Heavily traveled</td><td>12/%</td><td>6/%</td><td>3/%</td></tr>
_</table>
_<ol><li>Use the Parameter Box (below) to indicate whether it is day or night.</li>
_<li>Then indicate whether the region is <font color=blue><b>1)</b> Anauroch or <b>2)</b> the Graycloak Hills</li></ul><br></font>

# 1 corresponds to time="Day"
:Northern Hills 1
01-05,{Dice~1d2} Animal: Bear, Brown
06-07,Dire bear
08-11,{Dice~1d2} Dire lion
12-13,Dire tiger
14-15,{Dice~1d2} Dire wolverine
16-19,{Dice~1d4+4} Dire wolf
20-29,Dragon: [NH_Dragon]
30-34,{Dice~1d4} Ettin
35-40,Hill Giant
41-42,{Dice~1d2} Lamia
43-53,[NH_Local]
54-59,{Dice~1d4+4} Ogre
60-67,Orc Patrol: {Dice~1d4+4} orcs, {Dice~1d2} level {Dice~1d3} orc barbarians, led by level {Dice~1d4+2} [FR_Misc.Orc_Class]
68-73,Shield Dwarf Patrol: {Dice~1d4+4} 1st level fighters, {Dice~1d2} level {Dice~1d3} cleric of [Religion.Dwarf Gods], led by a level {Dice~1d4+2} [FR_Misc.Dwarf_Class]
74-79,{Dice~1d10+10} Surface rothe (FRCS)
80-81,Animal: Tiger
