# ---------------------------------------------------
# Last Update: verified by Valminder Oct 30, 2003.
# ---------------------------------------------------
#
# FR_Random_NPC
#
# Various tables intended for use by other tables
# to generate basic NPC information: number, level, race, class, alignment
#
# Includes level adjustment code to reroll result if calculated level is 0 or less
# Gets religion for clerics and paladins
#
# Created 06/18/03 SMS
# 
# Corrected by Valminder, Oct 2003
#   -{If~} and {Dice~}
#   -Changed [Religion.RACEDeities] to standard [Religion.RACE Gods]
#

%Adj%,0
%Level%,0
%Race%,0
%Class%,0
%Deity%,XXX

:Start
1,{Loop~{Dice~1d3+2},[FR_SM_NPC]}

:FR_SM_NPC
01-20,|Adj=0||Class=[FR_Good_Class]||Level={Dice~2d8+%Adj%}|
_{If~%Level% < 1 ? [FR_SM_NPC]/Good (LG, NG, or CG) %Race% %Class%, level %Level%<BR>}
21-50,|Adj=0||Class=[FR_Neutral_Class]||Level={Dice~2d8+%Adj%}|
_{If~%Level% < 1 ? [FR_SM_NPC]/Neutral (LN, N, or CN) %Race% %Class%, level %Level%<BR>}
51-100,|Adj=0||Class=[FR_Evil_Class]||Level={Dice~2d8+%Adj%}|
_{If~%Level% < 1 ? [FR_SM_NPC]/Evil (LE, NE, or CE) %Race% %Class%, level %Level%<BR>}

:Deity
1,{If~%Deity%=XXX? [LN~Religion.Deities]/%Deity%}

:FR_Good_Class
01-05,barbarian|Race=[bbn_FR_Good_Race]|
06-10,bard|Race=[brd_FR_Good_Race]|
11-30,cleric|Race=[clr_FR_Good_Race]| of [Deity]
31-35,druid|Race=[drd_FR_Good_Race]|
36-45,fighter|Race=[ftr_FR_Good_Race]|
46-50,monk|Race=[mnk_FR_Good_Race]|
51-55,paladin|Race=[pal_FR_Good_Race]| of [Deity]
56-65,ranger|Race=[rgr_FR_Good_Race]|
66-75,rogue|Race=[rog_FR_Good_Race]|
76-80,sorcerer|Race=[sor_FR_Good_Race]|
81-100,wizard|Race=[wiz_FR_Good_Race]|

:FR_Neutral_Class
01-05,barbarian|Race=[bbn_FR_Neutral_Race]|
06-10,bard|Race=[brd_FR_Neutral_Race]|
11-15,cleric|Race=[clr_FR_Neutral_Race]| of [Deity]
16-25,druid|Race=[drd_FR_Neutral_Race]|
26-45,fighter|Race=[ftr_FR_Neutral_Race]|
46-50,monk|Race=[mnk_FR_Neutral_Race]|
51-55,ranger|Race=[rgr_FR_Neutral_Race]|
56-75,rogue|Race=[rog_FR_Neutral_Race]|
76-80,sorcerer|Race=[sor_FR_Neutral_Race]|
81-100,wizard|Race=[wiz_FR_Neutral_Race]|

:FR_Evil_Class
01-10,barbarian|Race=[bbn_FR_Evil_Race]|
11-15,bard|Race=[brd_FR_Evil_Race]|
16-35,cleric|Race=[clr_FR_Evil_Race]| of [Deity]
36-40,druid|Race=[drd_FR_Evil_Race]|
41-50,fighter|Race=[ftr_FR_Evil_Race]|
51-55,monk|Race=[mnk_FR_Evil_Race]|
56-60,ranger|Race=[rgr_FR_Evil_Race]|
61-80,rogue|Race=[rog_FR_Evil_Race]|
81-85,sorcerer|Race=[sor_FR_Evil_Race]|
86-100,wizard|Race=[wiz_FR_Evil_Race]|

:!bbn_FR_Good_Race
01-03,Shield dwarf
04-23,Wild elf
24-25,Wood elf
26,Half-elf
27-31,Ghostwise halfing
32-52,Half-orc
53-77,Human
78,|Adj=-3|Half-celestial {Lockout~bbn_FR_Good_Race,78-79}[bbn_FR_Good_Race]
79,|Adj=-3|Half-dragon {Lockout~bbn_FR_Good_Race,78-79}[bbn_FR_Good_Race]
80-100,|Adj=-5| Wemic

:!brd_FR_Good_Race
01,|Adj=-1| Planetouched Aasimar
02-05,Gold dwarf
06-12,Sun elf
13-22,Moon elf
23-29,Wild elf
30-33,Wood elf
34,|Adj=-1|Planetouched Air Genasi
35,|Adj=-1|Planetouched Earth Genasi
36,|Adj=-1|Planetouched Fire Genasi
37,|Adj=-1|Planetouched Water Genasi
38-42,Gnome
43-54,Half-elf
55,Strongheart halfing
56,Lightfoot halfing
57,Ghostwise halfing
58,Half-orc
59-93,Human
94,|Adj=-1|Hybsil
95,|Adj=-3|Svirfneblin (gnome)
96,|Adj=-3|Half-celestial {Lockout~brd_FR_Good_Race,96-97}[brd_FR_Good_Race]
