# ---------------------------------------------------
# Last Update: verified by Valminder Oct 30, 2003.
# ---------------------------------------------------
#
# SMS
# 06/11/03
# Silver Marches random encounter tables
#
# Corrected by Valminder, Oct 2003
#   -{If~} and {Dice~}
#
#Variables

%Region%,0
%Time%,0
%Temp%,0

#Parameters

@Time,1,Select a time of day,Day,Night
@Region,0,Select a region (1-8 see instructions)

#
#  Starts by putting up the instructions
#

:Start
1,{If~%Region% = 0 ? [Instructions]/[Region=%Region%]}

;Instructions
1,<h3>Instructions:</h3>
_<b>Determine whether an encounter should occur before using this table. The chance of an encounter is based on terrain type and travel (chance per hour):</b><br>
_<table border=1><tr><th>Terrain</th><th>Normal Travel</th><th>Cautious Travel</th><th>Hiding</th></tr>
_<tr><td>Desolate</td><td>5/%</td><td>2/%</td><td>1/%</td></tr>
_<tr><td>Wilderness</td><td>8/%</td><td>4/%</td><td>2/%</td></tr>
_<tr><td>Frontier</td><td>10/%</td><td>5/%</td><td>2/%</td></tr>
_<tr><td>Settled</td><td>12/%</td><td>6/%</td><td>3/%</td></tr>
_</table>
_Use the Parameter Box (below) to select the region for which you want to generate an encounter.<br><br>
_0-These Instructions.<br><br>
_<b>Regions Included</b><br>
_<font color=blue><b>1</b> Rauvin Vale (Settled, EL 1-9),<br><b>2</b> Sundabar Vale (Settled, EL 1-9),<br><b>3</b> Moonlands or Adbar Vale or Cold Vale (Frontier, EL 2-10),<br><b>4</b> Evermoors (Wilderness, EL 2-14),<br><b>5</b> High Forest (Wilderness, EL 2-12),<br><b>6</b> Cold Wood or Moonwood (Wilderness, EL 2-12),<br><b>7</b> Nether or Rauvin Mountains (Wilderness, EL 4-14),<br><b>8</b> Spine of the World or Ice Mountains (Desolate, EL 4-14)<br><br></font>
_Then indicate whether it is day or night.<br>



:Region
1,[Rauvin Vale %Time%]
2,[Sundabar Vale %Time%]
3,[Moonlands or Adbar Vale or Cold Vale %Time%]
4,[Evermoors %Time%]
5,[High Forest %Time%]
6,[Cold Wood or Moonwood %Time%]
7,[Nether or Rauvin Mountains %Time%]
8,[Spine of the World or Ice Mountains %Time%]

:Rauvin Vale 1
01-07,Bandits: {Dice~1d6+1} 1st level warrior [SM_Bandit_Race] bandits led by [SM_Bandit_Leader]
08-11,Animal: Bear, Brown
12-16,{Dice~1d8+2} Branta (Silver Marches)
17-25,{Dice~2d6} Animal: Deer (Silver Marches)
26-27,Dire Bear
28-29,{Dice~1d10+10} Dire rats
30-31,Dire wolf
32-34,{Dice~1d6+2} Animal: Elk (Silver Marches)
35,{Dice~1d2} Gargoyle 
36-37,{Dice~1d4+4} Goblin raiders led by a level {Dice~1d4+1} goblin fighter and a level {Dice~1d4} goblin adept, all on worgs
38-45,<b>NPCs:</b><br>{Loop~{Dice~1d3+2},[FR_Random_NPC.FR_SM_NPC]}
46-53,[SM_Merchant_Race] merchants {Dice~2d4} commoners, {Dice~2d4} 1st level warriors, led by [SM_Merchant_Leader]
54,Mountain torrent (treat as no encounter on road or trail as stream is bridged in some fashion) 50% chance stream has boulders or log that allow crossing with balance check DC 15 (see Mountain Torrents p 49 Silver Marches)
55-57,{Dice~1d2} Ogre
58-59,{Dice~1d3+1} Orc
60,{Dice~1d10+5} Orcs, {Dice~1d3+1} Orc barbarians, and 1 level {Dice~1d6} Orc adept accompanied by {Dice~1d2} dire boars
61-69,[SM_Patrol_Rauvin]
70-71,{Dice~1d2} Peryton
72,{Dice~2d4} planetouched, fey'ri (MoF)
73,{Dice~1d4+1} planetouched, tanarukk (MoF)
74-78,{Dice~1d10+10} surface rothe (FRCS)
79-81,Animal: Red Tiger (Silver Marches)
82-84,Troll
85,{Dice~1d2} Wereboar
86-87,{Dice~1d2} Werewolf
88-96,{Dice~1d6+10} Animal: wolf
97-100,{Dice~1d2} Worg

:Rauvin Vale 2
01-02,Abishai, white (MoF)
03-05,Bandits: {Dice~1d6+1} 1st level warrior [SM_Bandit_Race] bandits led by [SM_Bandit_Leader]
06,Baneguard (MoF)
07-08,Bat, night hunter (MoF)
09,Animal: Bear, Brown
10-11,{Dice~1d8+2} Branta (Silver Marches)
12,{Dice~2d6} Animal: Deer (Silver Marches)
13,Dire Bear
14,{Dice~1d10+10} Dire rats
15-16,Dire wolf
17-18,Dread warrior (MoF)
19,{Dice~1d6+2} Animal: Elk (Silver Marches)
20-21,{Dice~1d2} Gargoyle 
22-23,{Dice~1d2} Ghast
24-26,{Dice~1d6} Ghoul
27-34,{Dice~1d4+4} Goblin raiders led by a level {Dice~1d4+1} goblin fighter and a level {Dice~1d4} goblin adept, all on worgs
35-39,<b>NPCs:</b><br>{Loop~{Dice~1d3+2},[FR_Random_NPC.FR_SM_NPC]}
40,[SM_Merchant_Race] merchants {Dice~2d4} commoners, {Dice~2d4} 1st level warriors, led by [SM_Merchant_Leader]
41,Mountain torrent (treat as no encounter on road or trail as stream is bridged in some fashion) 50% chance stream has boulders or log that allow crossing with balance check DC 15 (see Mountain Torrents p 49 Silver Marches)
42,Nyth (MoF)
43-48,{Dice~1d2} Ogre
49-54,{Dice~1d3+1} Orc
55-58,{Dice~1d10+5} Orcs, {Dice~1d3+1} Orc barbarians, and 1 level {Dice~1d6} Orc adept accompanied by {Dice~1d2} dire boars
59-61,[SM_Patrol_Rauvin]
62-63,{Dice~1d2} Peryton (MoF)
64-65,{Dice~2d4} planetouched, fey'ri (MoF)
66-68,{Dice~1d4+1} planetouched, tanarukk (MoF)
69-70,{Dice~1d10+10} surface rothe (FRCS)
71,Spectral Panther (MoF)
72-73,{Dice~1d6} skeletons, medium
74-75,Animal: Red Tiger (Silver Marches)
76-79,Troll
80-81,{Dice~1d2} Vampire spawn
82,{Dice~1d2} Wereboar
83-84,{Dice~1d2} Werewolf
85-87,{Dice~1d2} Wight
88-90,{Dice~1d6+10} Animal: wolf
91-97,{Dice~1d2} Worg
98-100,{Dice~1d4+1} Zombies, medium

:Sundabar Vale 1
01-07,Bandits: {Dice~1d6+1} 1st level warrior [SM_Bandit_Race] bandits led by [SM_Bandit_Leader]
08-11,Animal: Bear, Brown
12-16,{Dice~1d8+2} Branta (Silver Marches)
17-25,{Dice~2d6} Animal: Deer (Silver Marches)
26-27,Dire Bear
28-29,{Dice~1d10+10} Dire rats
30-31,Dire wolf
32-34,{Dice~1d6+2} Animal: Elk (Silver Marches)
35,{Dice~1d2} Gargoyle 
36-37,{Dice~1d4+4} Goblin raiders led by a level {Dice~1d4+1} goblin fighter and a level {Dice~1d4} goblin adept, all on worgs
38-45,<b>NPCs:</b><br>{Loop~{Dice~1d3+2},[FR_Random_NPC.FR_SM_NPC]}
46-53,[SM_Merchant_Race] merchants {Dice~2d4} commoners, {Dice~2d4} 1st level warriors, led by [SM_Merchant_Leader]
54,Mountain torrent (treat as no encounter on road or trail as stream is bridged in some fashion) 50% chance stream has boulders or log that allow crossing with balance check DC 15 (see Mountain Torrents p 49 Silver Marches)
55-57,{Dice~1d2} Ogre
58-59,{Dice~1d3+1} Orc
60,{Dice~1d10+5} Orcs, {Dice~1d3+1} Orc barbarians, and 1 level {Dice~1d6} Orc adept accompanied by {Dice~1d2} dire boars
61-69,[SM_Patrol_Sundabar]
70-71,{Dice~1d2} Peryton
72,{Dice~2d4} planetouched, fey'ri (MoF)
73,{Dice~1d4+1} planetouched, tanarukk (MoF)
74-78,{Dice~1d10+10} surface rothe (FRCS)
79-81,Animal: Red Tiger (Silver Marches)
82-84,Troll
85,{Dice~1d2} Wereboar
86-87,{Dice~1d2} Werewolf
88-96,{Dice~1d6+10} Animal: wolf
97-100,{Dice~1d2} Worg

:Sundabar Vale 2
01-02,Abishai, white (MoF)
03-05,Bandits: {Dice~1d6+1} 1st level warrior [SM_Bandit_Race] bandits led by [SM_Bandit_Leader]
06,Baneguard (MoF)
07-08,Bat, night hunter (MoF)
