# ---------------------------------------------------
# Last Update: verified by Valminder Oct 30, 2003.
# ---------------------------------------------------
#
# SMS
# 06/24/03
# Forgotten Realms Table 42: Temperate Marsh (EL 5-15) random encounter tables
#
# Corrected by Valminder, Oct 2003
#   -{If~} and {Dice~}
#
#Variables

%Region%,0
%Time%,0
%Temp%,0

#Parameters

@Time,1,Select a time of day,Day,Night
@Region,1,Select a value for region (1-2 see instructions for details)

#
#  Starts by putting up the instructions
#

:Start
1,{If~%Region% = 0 ? [Instructions]/[Temperate Marsh %Time%]}

;Instructions
1,<b>Forgotten Realms Table 42: Temperate Marsh (EL 5-15)</b></br></br><h3>Instructions:</h3>
_<b>Determine whether an encounter should occur before using this table. The chance of an encounter is based on terrain type and travel (chance per hour):</b><br>
_<table border=1><tr><th>Terrain</th><th>Normal Travel</th><th>Cautious Travel</th><th>Hiding</th></tr>
_<tr><td>Desolate/wasteland</td><td>5/%</td><td>2/%</td><td>1/%</td></tr>
_<tr><td>Frontier/wilderness</td><td>8/%</td><td>4/%</td><td>2/%</td></tr>
_<tr><td>Verdant/civilized area</td><td>10/%</td><td>5/%</td><td>2/%</td></tr>
_<tr><td>Heavily traveled</td><td>12/%</td><td>6/%</td><td>3/%</td></tr>
_</table>
_<ul><li>Use the Parameter Box (below) to indicate whether it is day or night.</li>
_<li>Then indicate whether the region is<font color=blue><ol><li>Chelimber Marsh</li><li>Lizard Marsh</li></ol></li></ul><br></font>

# 1 corresponds to time="Day"
:Temperate Marsh 1
01,{Dice~1d2} Aballin (MoF)
02,{Dice~1d4} Banelar
03-04,{Dice~1d2} Behir
05-06,Black pudding
07-10,{Dice~1d2*4} Bullywug
11-13,{Dice~1d6} Chuul
14,{Dice~4d6} Crawling Claw (MoF)
15-17,{Dice~1d10+10} Dire rat
18,Cryohydra {Dice~1d6+4} heads
19-26,Dragon: [TM_Dragon]
27-29,{Dice~1d4+1} Fog giant (MoF)
30-32,Gibbering mouther
33-35,Gulguthydra (MoF)
36-38,{Dice~1d6+6} Harpy
39-45,Hydra {Dice~1d8+4} heads
46-48,{Dice~1d4+1} Monstrous centipede, large (vermin)
49,Lernaean cryohydra {Dice~1d4+4} heads
50,Lernaean hydra {Dice~1d6+4} heads
51-56,Lizardfolk Warband: {Dice~1d6+6} lizardfolk, {Dice~1d2} level {Dice~1d3} druids, led by level {Dice~1d4+2} [FR_Misc.Lizardfolk_Class]
57-65,[TM_Local]
66-68,{Dice~1d2} Meazel (MoF)
69-71,{Dice~1d6+2} Merrow (ogre)
72,Nishruu (MoF)
73,Nyth (MoF)
74-75,Ochre jelly (ooze)
76-78,{Dice~1d6+2} Ogre
79-82,Orc Patrol: {Dice~1d4+4} orcs, {Dice~1d2} level {Dice~1d3} orc barbarians, led by level {Dice~1d4+2} [FR_Misc.Orc_Class]
83,Pyrohydra, {Dice~1d6+4} heads
84-86,{Dice~1d3+2} Shambling Mound
87-91,Siv Squad: {Dice~1d6+6} sivs, {Dice~1d4+1} 2nd level siv monks, led by a level {Dice~1d2} [FR_Misc.Siv_Class]
