# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder Jan 10, 2006.
# ---------------------------------------------------
#
# Events - Year & Month
#
# Taken from Gamemaster Law (ICE) or Oriental
# Adventures (TSR) - both systems are pretty
# much the same.
#
# By Bruce Gulke
#
# Modified by Valminder April 2002
#    I added all the text and descriptions.
#    I added some new events.
#    I added some links to these other tables:
#        Countries.Start
#        Creatures.Humanoid
#        Creatures.Humanoid2
#        Miscellaneous.Class
#        Miscellaneous.Direction
#        Names Generator.NAME Random
#        Religion.Deities
# Modified by Valminder, Jan 2006.
#    Adapted for TRSv5.
#    I changed the "START" line.
#    Added some slight modifications.
# Modified by Valminder, Octobre 2016
#    Modified link "Countries.Start" to "Countries.Countries"
#

/OverrideRolls 1

%EventTable%,0
%Roll%,0
%Roll2%,0
%Month%,1

:Start
1,{Status~By Valminder, 2002, 2006}
_<b><u>Yearly Event</u>: </b>[YearlyEvent]
_<b><u>Monthly Events</u></b><br>{Loop~12,[Monthly Events %EventTable%]}

:!YearlyEvent
1-4,Ambassador comes from another land ([~Date])<br><br>[Ambassador]<br><br>|EventTable=III|
5-8,Ambassador is sent to another land ([~Date])<br><br>[Ambassador]<br><br>|EventTable=III|
9-13,Assassination of a Lord ([~Date])<br><br>[Assassination]<br><br>|EventTable=I|
14,Astrological Phenomena or Comet{Lockout~YearlyEvent,99-100} ([~Date])<br><br>[Comet]<br><br>
15-29,Birth ([~Date])<br><br>[BirthYearly]<br><br>|EventTable=III|
30-31,Cultural Discovery ([~Date])<br><br><u>This is discovered</u>: [Cultural Discovery]<br><br>|EventTable=III|
32-39,Death of a Lord ([~Date])<br><br>[Death Of Lord]<br><br>|EventTable=III|
40-42,Earthquake, Major (Disaster) ([~Date])<br><br>[Earthquake Major]<br><br>|EventTable=III|
43-46,Famine (Disaster) ([~Date])<br><br>[Famine]<br><br>|EventTable=II|
47-51,Fire, Major (Disaster) ([~Date])<br><br>[Fire Major]<br><br>|EventTable=II|
52-55,Flood (Disaster) ([~Date])<br><br>[Flood Yearly]<br><br>|EventTable=II|
56-57,Hurricane, Tornado, or Tsunami (Disaster) ([~Date])<br><br>[Hurricane]<br><br>|EventTable=II|
58,Incursion, Major ([~Date])<br><br>[Incursion]<br><br>|EventTable=II|
59-67,Marriage ([~Date])<br><br>[Marriage Yearly]<br><br>|EventTable=III|
68,Meteor Strike (Disaster) ([~Date])<br><br>[Meteor Strike Major]<br><br>|EventTable=II|
69,New Religion ([~Date])<br><br>[New Religion]<br><br>|EventTable=III|
70-74,Plague (Disaster) ([~Date])<br><br>[Plague]<br><br>|EventTable=II|
75-79,Political Plot ([~Date])<br><br>[Political Plot]<br><br>|EventTable=I|
80,Pretender or Usurper ([~Date])<br><br>[Pretender or Usurper]<br><br>|EventTable=I|
81-86,Rebellion ([~Date])<br><br>[Rebellion]<br><br>|EventTable=I|
87,Visitation ([~Date])<br><br>[Visitation]<br><br>|EventTable=III|
88,Volcano (Disaster) ([~Date])<br><br>[Volcano]<br><br>|EventTable=II|
89-93,War, Ruler declares war to neighbor ([~Date])<br><br>[War]<br><br>|EventTable=I|
94-98,War, Kingdom invaded by neighbor ([~Date])<br><br>[War]<br><br>|EventTable=I|
99-100,<font color=purple>2 major yearly events.</font><br><br>{Loop~2,[YearlyEvent]<hr>}

:Date
1,[Calendar.Months and Days]

:Monthly Events I
1,{If~%Month%=13?|Month=1|/<br>%Month%- [Monthly Event I Roll] |Month+1|}

:Monthly Event I Roll
1-5,[Accident]<br>
6-10,[Bandit Activity]<br>
11-15,[Birth Monthly]<br>
16-20,[Death]<br>
21-25,[Excessive Taxes]<br>
26-27,[Famous Person]<br>
28,[Fire Minor]<br>
29-30,[Haunting]<br>
31-33,[Horrible Monster]<br>
34-41,[Incursion Major]<br>
42-51,[Incursion Minor]<br>
52-54,[Injustice]<br>
55-60,[Major Battle]<br>
61,[Notorious Criminal]<br>
62-66,[Recruiting]<br>
67-71,[Troop Movements]<br>
72-78,[Uprising]<br>
79-80,[Vengeful Stranger]<br>
81-82,[Traitor]<br>
83-87,[Spies]<br>
88-100,-<br>

:Monthly Events II
1,{If~%Month%=13?|Month=1|/<br>%Month%- [Monthly Event II Roll] |Month+1|}

:Monthly Event II Roll
1-5,[Accident]<br>
6-15,[Bad Harvest]<br>
16-22,[Bad Weather]<br>
23-32,[Bandit Activity]<br>
33-37,[Birth Monthly]<br>
38-44,[Death]<br>
45-49,[Earthquake Minor]<br>
50-54,[Excessive Taxes]<br>
55-60,[Fire Minor]<br>
61-66,[Flooding]<br>
67-69,[Haunting]<br>
70-73,[Horrible Monster]<br>
74-78,[Injustice]<br>
79-82,[Landslide]<br>
83,[Meteor Strike Minor]<br>
84-87,[Maneater]<br>
88-92,[Plague Monthly]<br>
93,[Uprising]<br>
94,[VIP Visit]<br>
95-100,-<br>

:Monthly Events III
1,{If~%Month%=13?|Month=1|/<br>%Month%- [Monthly Event III Roll] |Month+1|}

:Monthly Event III Roll
1-5,[Accident]<br>
6-7,[Bad Harvest]<br>
8-10,[Bad Weather]<br>
11-15,[Bandit Activity]<br>
16-25,[Birth Monthly]<br>
26-29,[Death]<br>
30,[Market Glut]<br>
31-33,[Famous Person]<br>
34-35,[Population Change Gain]<br>
36-40,[Fire Minor]<br>
41-43,[Haunting]<br>
44-50,[Injustice]<br>
51-54,[Maiden of Virtue]<br>
55,[Fanatic Cult]<br>
56-60,[Maneater]<br>
61,[Market Shortage]<br>
62-66,[Marriage Monthly]<br>
67-68,[Population Change Loss]<br>
69,[Spies]<br>
70-78,[Notorious Criminal]<br>
79-80,[Vengeful Stranger]<br>
81-82,[Trade Route Lost]<br>
83,[Trade Route New]<br>
84-87,[VIP Visit]<br>
88-92,[Resident Specialist]<br>
93,[Ressource Lost]<br>
94,[Ressource Gain]<br>
95-100,-<br>

:Accident
1,<b><u>Accident</u>:</b> Some type of terrible accident occurs in the area (DM's choice). A bridge across a raging river may collapse, lightning may strike a building, a horse-drawn cart may rampage through the streets, a levee may break, etc. It will be the topic of conversation for some time afterwards.<br><br>
_<u>The accident will</u>: [Accident Effect]

;Accident Effect
35,cause only some inconvenience.
35,cause some inconvenience and a loss of life.
15,be a major accident.
15,cause substential loss of life.

:Ambassador
1,Ambassador remains <b>{Dice~3d10}</b> months. His arrival is always a major event for those at the court (ceremonies, banquets).<br><br>
_{If~{Dice~1d10}=10? The ambassador comes from a distant land beyond the Known World. / The ambassador comes from the [~Countries.Countries].}
_<br><br><u>Mission of the ambassador</u>: [AmbassadorMission]

;AmbassadorMission
15,To prevent a war.
15,To promote trade.
15,To form a military alliance.
15,To arrange a marriage.
15,To pay tribute.
15,To gain culture.
10,Other reason.

:Assassination
1,A high-ranking lord (emperor, king, prince, chieftain, daimyos, governor, prime minister, minister of state) is assassinated. The PCs may fall under suspicion if they had dealings with that NPC. They are automatically suspected if they are enemies of the one assassinated.<br><br>
_<u>Assassin(s)</u>: {If~{Dice~1d100}<=30? Taken alive. / Not caught or dead.}<br>
_<u>PCs</u>: {If~{Dice~1d100}=1? Accused by the assassin if they have connections. / Not accused.}<br>
_<u>Succession</u>: {If~{Dice~1d100}<=20? The one assassinated has no successor and a power struggles ensues, lasting {Dice~1d6} months (may result in war if DM desires). / The one assassinated has a successor (hereditary or not). The court is in turmoil.}<br>

:Bad Harvest
1,<b><u>Bad Harvest</u>:</b> Poor weather, lazy farmers, bad luck, and greedy crows have combined to yield poor crop. The peasants become dissatisfied and there is considerable grumbling about ill luck and bad fates. Often the bad harvest is blames on the actions of the ruler of the land. Supposedly, the poor crop is punishment for his evil actions.<br>
_<u>Farm Income</u>: {IIf~{Dice~1d100}<=5? half normal (50 <b>percent</b>). : 3/4 normal (75 <b>percent</b>).}<br>
_<u>Prices of Food</u>: {If~{Dice~1d100}<=10? tripled (x3). / doubled (x2).}<br>
_<u>Famine caused by bad harvest</u>: {If~{Dice~1d100}<=5? There is a famine.<br><br>Famine:<br>[Famine]<br> / No famine.}

:Bad Weather
1,<b><u>Bad Weather</u>:</b> The weather throughout the month is foul.<br>
_<u>In winter</u>, roads are choked by blizzards. The air is freezing cold.<br>
_<u>In fall</u>, the rains are particularly heavy, turning everything into a sodden morass.<br>
_<u>In summer</u>, the weather is exceptionally hot.<br>
_All MV is reduced by 1/2 (half) with a like effect on trade. Armies in the field suffer a desertion rate of 15 <b>percent</b> during the month.<br>
_<u>Farming income</u>: -15 <b>percent</b> (except in winter or late fall).

:Bandit Activity
1,<b><u>Bandit Activity</u>:</b> A force of <b>{Dice~1d10*20}</b> bandits (led by a [~Miscellaneous.Class] named [~Names Generator.NAME Random]) have moved into the area and are being particularly active. They may have been driven out of a neighboring region or may have naturally gravited here. They establish a stronghold in some remote place, preferably deep in the mountains.<br>
_They have <u>spies and informers</u> in the towns and villages, appraising them of the movements of merchant caravans and treasury shipments.<br>Mercenary guards are in great demand. <u>If the government of the area is effective</u>, troops are called out to drive the bandits from the region. 
_Merchants and travelers are suspicious of strangers. <u>If the government troops are ineffective</u>, the bandits stage raids on the small villages, robbing their grain shortly after each harvest. The bandits remain in the area until they are defeated or the pickings become too slim to be profitable.<br>
_<u>A caravan moving through the region</u> has <b>50 percent chances</b> of being attacked (<b>100 percent</b> if a merchant or official is so indiscreet as to publicly let out that he is transporting a valuable cargo). <u>A lone traveler</u> has <b>80 percent chances</b> to be robbed.

:Birth Monthly
1,<b><u>Birth</u>:</b> Should any PC be married, he learns at this time that he is to have a child. The actual birth will occur in 8 months. <u>If this does not apply</u>, [Birth Monthly Alternate] There will be some feastings and celebrations. The child's name will be [~Names Generator.NAME Random].

:Birth Monthly Alternate
1-95, a local noble or government official has a child.
96-100,there will be reports of the miraculous birth of a child to a peasant family. This is an event of great wonder. The child springs from a piece of cut wood, appears from the waters of a spring, is found in the local shrine, etc. The peasant family is hard-working, honest and pious. As the child grows, through the years, he will prove to be exceptional in some way (great strength, cleverness, magical ability, etc). Meanwhile, the fortunes of the peasant family will rise and they will become leaders of their community.

:BirthYearly
1,A high-ranking noble's family has given birth to a child, thereby ensuring the continuation of the line. Celebrations and feasting for several days. The child's name will be [~Names Generator.NAME Random].

:Comet
1,A bright comet (or other astrological phenomena) is sighted in the sky for <b>{Dice~1d4}</b> week(s). This is a portent of some great event. A second yearly event is chosen by the DM and occurs shortly after the comet passes.<br>
_<br><u>Second Event</u>: [YearlyEvent]

;Cultural Discovery
25,Ruins of a shrine or temple.
10,Ruins of a city or village.  
25,An old tomb.                  
15,A religious artefact.        
10,A historical artefact.       
15,Some historical Informations.   

:Death
1,<b><u>Death</u>:</b> A local noble or government official dies. He died [Death Of Lord How].<br>
_<u>If the position vacated is hereditary</u>, it is filled by his son ([~Names Generator.NAME Random]). <u>If he has no heirs</u>, there is a <b>30 percent chances</b> (Roll = <b>{Dice~1d100}</b>) that some other person has inherited the property (adoption or assignment of rights). The succession goes smoothly<br>
_<u>If the succession is unclear and there is a strong central government</u>, the fief is assigned to a new lord by the court.<br>
_<u>If the central government if weak or non-existent</u>, neighboring lords attempt to seize the fief through force of arms. This can lead to armed clashes across the province.<br>
_<u>If the vacated position is a government post</u>, the central government appoints a new official who arrives in <b>{Dice~1d6+1}</b> weeks. During the time before he arrives, no government duties relating to the post can be resolved. Thus, upon the death of a magistrate, no cases could be heard or resolved until the new magistrate arrived.

:Death Of Lord
1,A high-ranking noble (emperor, king, prince, chieftain, daimyos, governor, prime minister, minister of state) dies. He died [Death Of Lord How].<br><br>
_<u>Assassination</u>: {If~{Dice~1d100}<=5? It was an assassination well disguised. / It was not an assassination.}<br>
_<u>PCs</u>: {If~{Dice~1d100}=1? Suspected of an assassination attemps if they were in bad terms. / Not accused.}<br>
_<u>Succession</u>: {IIf~{Dice~1d100}<=20? The Lord has no successor and a power struggles ensues, lasting <b>{Dice~1d6}</b> months (may result in war if DM desires). : The Lord has a successor (hereditary or not). The court is in turmoil.}<br>

;Death Of Lord How
15,in battle
25,through misadventure
30,from a disease
30,peacefully in bed after a long life

:Earthquake Major
1,There is extensive destruction in a 50-mile-radius area (6 hex radius). DM chooses the center point. Before and after the earthquake, there are a series of lesser tremors, causing slight damage (decided by DM). The major earthquake destroys cities, reshapes lakes, coastlines, and rivers, causes great fires, and possibly kills hundreds of people. The effects on the PCs and their property in the radius is equal to an EARTHQUAKE spell (severity chosen by DM). The quake lasts only a few hours. Double (x2) the price of building materials for <b>{Dice~1d3+1}</b> months.<br><br>
_The epicentre is in the <u>[Miscellaneous.Direction]</u> of the country.<br><br>
_<u>Plague caused by earthquake</u>: {If~{Dice~1d100}<=40? There is a plague in the area.<br><br>[Plague]<br>/ No plague.}<br>
_<u>Major Fire caused by earthquake</u>: {If~{Dice~1d100}<=70? There is a major fire in a town or a city.<br><br>[Fire Major]<br>/ No major fire.}<br>

:Earthquake Minor
1,<b><u>Minor Earthquake</u>:</b> There is a small earthquake in a 5-mile-radius area (1 hex only). DM chooses the center point. Before and after the earthquake, there are a series of lesser tremors, causing slight damage (decided by DM). Although loss of life is minor, half (50 <b>percent</b>) of the buildings will be damaged. The quake lasts only a few minutes. Double (x2) the price of building materials for <b>{Dice~1d2}</b> month(s).<br>
_The epicentre is in the <u>[Miscellaneous.Direction]</u> of the country.<br><br>
_<u>Fire caused by minor earthquake</u>: {If~{Dice~1d100}<=40? {If~{Dice~1d100}<=75? There is a minor fire in a town or a city.<br>[Fire Minor]<br> / There is a major fire in a town or city.<br>Major Fire:<br>[Fire Major]<br>} / No fire.}<br>

:Excessive Taxes
1,<b><u>Excessive Taxes</u>:</b> A new edict comes from the ruler of the land, setting the taxes upon the peasant at an impossible rate. The ruler may need to finance a military campaign, rebuild sections of the kingdom destroyed in a natural disaster, or may just be corrupt. Poorer peasants are driven into poverty or debt-slavery. Many are forced to sell their lands at low prices and take up begging. Everyone tries to find ways to avoid the new taxes (petitioning for special exemptions or hiding their goods).<br>
_<u>Uprising by the peasants caused by excessive taxes</u>: {If~{Dice~1d100}<=30? There is an uprising.<br><br>[Uprising]<br> / No uprising.}<br>
_<u>Increased bandit activity</u>: {If~{Dice~1d100}<=70? There is an increase in bandit activity as the impoverished peasants flee to the hills.<br><br>[Bandit Activity]<br> / No increase.}

:Famine
1,|Roll={Dice~1d6+1}|Drought and poor harvest result in the region undergoing famine. The signs of impending famine are obvious (crops wither, animals die, the poor begin to hunger, etc). It lasts <b>%Roll%</b> months. During this time, the price of food skyrockets (x10, x50, x100). Marauders groups appear, scavenging for food of any type (cattle, sheep, dogs, horses, etc). Farms in the region produce no income for the year and only 1/4 (one quarter) of their normal income in the next year.<br><br>
_<u>Loss of Population</u>: |Roll*5|%Roll% <b>percent</b> (5 <b>percent</b> per month of famine).<br><br>
_<u>Uprising by the peasants caused by the famine</u>: {If~{Dice~1d100}<=60? There is an uprising.<br><br>[Uprising]<br> / No uprising.}<br>
