# ---------------------------------------------------
# Last Update: modified by Valminder August 20, 2006.
# ---------------------------------------------------
#
# Inn Menu
#
# Copyright 1998 Bruce A. Gulke
# Modifications Copyright 2001 Kevin Duda
# Modified by Valminder, 2002.
#    I linked the table with these other tables:
#        Creatures.Fantastic
#        Creatures.Start
#        Miscellaneous.Color
#        Names Generator.NAME Random
#    I also changed "Drinks" and "Food" to add the {Loop} function.
# Modified by Valminder, Jan 2004 based on the table by Erik C. Mattsen
#    I linked this table with:
#        Herb Names.Generate
#    Added subtables:
#        Ale Name
#        Beer Name / Beef / Bread / Cheese
#        Fish / Flower / Fowl / Grain
#        Mead Name / Pork / Reptile / Rodent
#        Seasonal / Sides / Venison
#        Wine Name / Wine Location / Wine Style
# Modified from: "Inn Menu2.tab" 
#    This table is brought to you by Tyego-Press (copyright and all rights
#    reserved), feel free to use and abuse the table as need be.
# Modified with the modifications by Michael Long 10/2000
#    -Forgotten Realms items: if you do not want them, change the parameter
#     and the FR variable to:
#     %FR%,2
#     @FR,1,Do you want to use the Forgotten Realms items ?,Yes,No
# Modified by Valminder, Jan 2006.
#    Added a few stuff to link with "Inn Generator.tab"
#    Adapted for TSv5.
#    Changed START line.
# Modified by Valminder, Feb 2006.
#    Added stuff from Michael Long's tables "FR_Drink" and "FR_Food".
#    Changed "Miscellaneous.Color" to "Miscellaneous.ColorNoType".
# Modified by Valminder, Feb 2006.
#    Added stuff from QWalker table "Drinks.tab".
#

/OverrideRolls 1

%SPECIALVALUE%,0
%VALUE%,0
%piece%,gp
%Cost%,0
%Temp%,0
%mod price%,1
%FR%,1

@FR,1,Do you want to use the Forgotten Realms items ?,Yes,No

:Start
1,{Status~by Bruce A. Gulke 1998, Kevin Duba 2001, Michael Long 2000, Valminder 2006}[Generate]

:Generate
1,|VALUE=0|<p align="center"><b><u>Food</u></b><br>[Food][House Specials]<b><u>Drinks</u></b><br>[Drinks]</p>

:GenerateInn
1,|VALUE=0|[Food2][House Specials]<b><u>Drinks</u></b><br>[Drinks]

# ---------------------------------------------------------------------------
# Price Checker

:Cost
1,{If~%VALUE%>10?|VALUE=10|}{If~%VALUE%>0?[Cost1]/[Cost2]}

:Cost1
1,[Price=%VALUE%]|Cost/10|[PieceChecker]%Cost% %piece%

:Cost2
1,|Cost={Dice~1d9}|%Cost% cp

# This price is to be calculated in silver pieces
:Price
1,|Cost=1|
2,|Cost=2|
3,|Cost=3|
4,|Cost={Dice~1d2+4}|
5,|Cost={Dice~1d2+6}|
6,|Cost={Dice~1d3+8}|
7,|Cost={Dice~1d3+11}|
8,|Cost={Dice~1d5+14}|
9,|Cost={Dice~1d6+18}|
10,|Cost={Dice~1d10+20}|
11,|Cost={Dice~1d20+20}|
12,|Cost={Dice~1d30+20}|
13,|Cost={Dice~1d40+20}|
14,|Cost={Dice~1d50+20}|
15,|Cost={Dice~1d60+20}|

:PieceChecker
1,|piece=gp|{If~%Cost%<1 ? |Cost*10||piece=sp|{If~%Cost%<1 ? |Cost*10||piece=cp|{If~%Cost%=0 ? |piece=gp|}}}

# ---------------------------------------------------------------------------
# Drinks

;Drinks
1,<i>Non-Alcoholic</i><br>{Loop~{Dice~2d2},[Non Alcoholic]}<br>
_<i>Alcoholic</i><br>{Loop~{Dice~2d3-1},[Alcoholic]}
_[Special]

;DrinksTavern
1,<i>Non-Alcoholic</i><br>{Loop~{Dice~2d2-1},[Non Alcoholic]}<br>
_<i>Alcoholic</i><br>{Loop~{Dice~2d3+1},[Alcoholic]}
_[Special]

;DrinksInn
1,<p align="center">[Drinks]</p>

;DrinksTavern
1,<p align="center">[DrinksTavern]</p>

;Alcoholic
1,{Cap~[Alcoholic Drinks]} ([Taste], [Cost])<br>
1,{If~%FR%=1 ? [FR Special]} ([Taste], [Cost])<br>

;Non Alcoholic
1,{Cap~[Non Alcoholic Drinks]} ([Taste], [Cost])<br>

;Special
1,<br><i>House Special</i><br>{Cap~[House Special]}|VALUE+3|{If~{Dice~1d100}<20? ([SpecialDrinkProperties])} ([Taste+2], [Cost])<br>
2,

;SpecialDrinkProperties
1,this drink has big bubbles|VALUE+2|
1,this drink has small bubbles|VALUE+2|
1,this drink fizzes|VALUE+2|
1,this drink boils|VALUE+2|
2,this drink glows [~Miscellaneous.ColorNoType]|VALUE+2|
2,this drink forms a thin layer of ice|VALUE+4|
2,this drink steams|VALUE+2|
2,this drink is ice cold|VALUE+4|
2,this drink is hot|VALUE+4|
1,this drink periodically froths|VALUE+2|
1,this drink is a gas/vapors|VALUE+6|
1,this drink is a solid|VALUE+6|
1,this drink sings softly|VALUE+8|
1,this drink humms|VALUE+6|
1,this drink vibrates|VALUE+2|
1,this drink flashes [~Miscellaneous.ColorNoType] when moved|VALUE+2|

;!Non Alcoholic Drinks
10,rainwater|VALUE=0|{Lockout~Non Alcoholic Drinks,1-30}
