# ---------------------------------------------------
# Last Update: modified by Valminder August 8, 2006.
# ---------------------------------------------------
#
# Creates history for Magic Items
#
# (C) 2000 Jeff Ibach, ocasek50@hotmail.com
#
# Modified by Valminder April 2002
#    I changed the "START" line.
#    I replaced [Material] by [Miscellaneous.Precious Material]
#    I added some "Names" links (including [Names Generator.NAME Random]).
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#    Added some ~ and links to "Countries.tab"
# Modified by Valminder, August  2006.
#    Added link to: Notable Event Names.tab
#    Added Deity paramater.
#

%Deity%,0

@Deity,2,Choose the deity you want to use,Core Gods of PHB,Religion.Deities


:Start
1,<b><u>History of a Magical Item</u>:</b><br><br>{Status~By Jeff Ibach, 2000, Valminder 2006}
_[Generate]

:Generate
1,The item's age is [Age]. There [There] in its manufacture. The item was forged by [Race] [Area]. [Lorekeepers] say it took part in [Deed]. [Last]. [Special]

:Age
1-2,difficult to pinpoint
3-4,not old, about <b>{Dice~10d100}</b> years old
5-7,old, about <b>{Dice~30d100}</b> years old
8,ancient, about <b>{Dice~50d100+400}</b> years old
9-10,impossible to ascertain
11-12,not old, made about <b>{Dice~10d100}</b> years ago
13-15,old, probably made <b>{Dice~30d100}</b> years ago
16,ancient, possibly made even <b>{Dice~50d100+600}</b> years ago
17-18,hard to tell

:There
1,seems to be traces of [~Miscellaneous.Precious Material]
2,might even be traces of [~Miscellaneous.Precious Material]
3,are traces of [~Miscellaneous.Precious Material]
4,are slight traces of [~Miscellaneous.Precious Material]
5,are heavy traces of [~Miscellaneous.Precious Material]
6-10,does not seem to be any exotic material used

:Last
1-5,Lore links it with the [~Profession] [~Names Generator.NAME Random]
6-8,It was last owned by the [~Profession] [~Names Generator.NAME Random]
9-10,It was to be buried with the [~Profession] [~Names Generator.NAME Random]
11,It dissapeared because it was stolen by the [~Profession] [~Names Generator.NAME Random]
12,It is thought to have been destroyed by the [~Profession] [~Names Generator.NAME Random]
13,It was said to be hidden away by the [~Profession] [~Names Generator.NAME Random]
14-15,Lore links it with no one in particular
