# ---------------------------------------------------
# Last Update: modified by Valminder Sept 21, 2015.
# ---------------------------------------------------
#
# Random list of Spell Components
# Based on information in Core Rules CD-Rom
# Scott Kinsey (smkinsey@redrose.net)
#
# Modified by Valminder July 2003
#    Changed the start line to generate the content of a randomly found
#       spell component pouch.
#    Changed the tables from ":" to ";" if other components need to be added.
#    Put all in lower case to facilitate the calling from another table. 
#
# Jan 2004: -Fixed the names to be more readable.
#           -Added links to:
#               Inn Menu.Fruit
#               Miscellaneous.Color
#               Miscellaneous.Material
#               Miscellaneous.Metal
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    I changed the "START" line.
# Modified by Valminder, Sep 2015.
#    Added "Alternate" subtable.
#    Ordered output.
#    Added Components from PH3.5 
#    Added Components from Spell Compendium 
#    Added Components from 101 Spellbooks
#

%Number%,0
%Output%,line
%ShowSpell%,0
%Spell%,0
%Temp%,0
%Temp2%,0

@ShowSpell,1,Show the spell related to the component,Yes,No
@Number,99,Number of items (99 = 1d20+5)

:Start
1,<b><u>Spell Components Pouch Contents</u>:</b>
_{Status~From Core Rules CD-Rom.}<br><br>
#_{Loop~{Dice~1d20+5},{Cap~[Generate]}{If~{And~%ShowSpell%=1,%Spell%!=0}=1?[ShowSpell]}.<br>}
_|Output=list|[Alternate]

;Alternate
101,{If~%Number%=99?|Temp={Dice~1d20+5}|/|Temp=%Number%|}
_|Temp-1||Temp2={Cap~[Generate]}!|
_{While~%Temp%,|Temp-1||Temp2&{Cap~[Generate]}|{If~{And~%ShowSpell%=1,%Spell%!=0}=1?|Temp2&[ShowSpell]|}|Temp2&{If~%Temp%>0?!}|}
_|Temp2={OrderAsc~"!",%Temp2%}|
#_|Temp2={Replace~!,! ,%Temp2%}|
_{If~%Output%=list?|Temp2={Replace~!,!{CarRet~},%Temp2%}|/|Temp2={Replace~!,! ,%Temp2%}|}
_|Temp2={CommaReplace~1,!,%Temp2%}|
_{If~%Output%=list?|Temp2={CommaReplace~0,,%Temp2%}|}
_|Temp2={CommaReplace~1,;,%Temp2%}|
_%Temp2%.
1,<i>Everful Component Pouch</i> (CL3, Wondrous Item, 2000 gp).

:AlternateOLD
1,|Temp={Dice~1d20+5}|
_|Temp-1|{Cap~[Generate]}; 
_{While~%Temp%,|Temp-1|{Cap~[Generate]}{If~{And~%ShowSpell%=1,%Spell%!=0}=1?[ShowSpell]}{If~%Temp%>0?; /.}}

;Generate
6,[Common]
3,[Uncommon]
1,[Rare]

:ShowSpell
1,<font size=2> <i>{Color~Chocolate,(%Spell%)}</i></font>

;!Common
10,feather/fur/scale/skin of a [~Creatures.Familiar Common]|Spell=lightning bolt|
1,A [~Creatures.Humanoid] finger bone|Spell=awaken undead (SC1); burrowing bony digits (101Sp); skeletal guard (SC1)|
2,acorn|Spell=fire seeds|
2,alcohol|Spell=false life|
1,apple blossom|Spell=0|
2,archery target replica|Spell=true strike FOCUS|
1,arrowhead flint|Spell=arrow mind (SC1)|
1,ash form burnt plant|Spell=junglerazer (SC1)|
1,aster seed|Spell=0|
1,balsa-wood bird carving|Spell=downdraft (SC1)|
1,bark chips|Spell=0|
1,bark from an oak|Spell=0|
2,bar of iron (pair)|Spell=repulsion FOCUS|
2,bar of [~Miscellaneous.Metal]|Spell=hold monster|
2,bead of glass|Spell=chain lightning FOCUS; globe of invulnerability; moonspray (101Sp)|
1,bear fur|Spell=bite of the werebear (SC1); lightning ring (SC1)|
1,bell (iron)|Spell=call undead (101Sp); great thunderclap FOCUS (SC1); shatter floor FOCUS (SC1)|
1,bell x{Dice~1d4+2} (brass)|Spell=portal alarm FOCUS (SC1); shatter floor FOCUS (SC1)|
2,blade of iron|Spell=move earth|
1,blade from a knife|Spell=0|
1,{If~{Dice~1d2}=1?dagger/knife} buried with a corpse for 1+ year|Spell=bleeding wound (101Sp)|
2,blood of a [~Creatures.Start2]|Spell=blood knife (101Sp); burning blood (SC1); guards and wards; stone to flesh|
1,blood of a [~Creatures.Animal]|Spell=blood knife (101Sp); curse of lycanthropy (SC1)|
1,boar bristles|Spell=bite of the wereboar (SC1)|
1,bone of a [~Creatures.Humanoid2] slain in the last 7 days (rib)|Spell=bone armor (101Sp)|
1,bone of a [~Creatures.Humanoid2] (carved)|Spell=summon undead FOCUS (SC1)|
1,bone of a [~Creatures.Humanoid2] (small)|Spell=fleshshiver (SC1)|
2,bone of a [~Creatures.Humanoid2] (splinter)|Spell=command undead; control undead; mordenkainen's faithful hound|
1,bone (paste; [~Creatures.Start2])|Spell=death armor (SC1)|
15,bone of a [~Creatures.Start2]|Spell=command undead; control undead; mordenkainen's faithful hound|
2,brakish water|Spell=create undead; slime wave (SC1)|
2,brimstone|Spell=flaming sphere; guards and wards; vile death (SC1)|
2,butter|Spell=grease|
2,candle (small; [~Miscellaneous.Color])|Spell=flame dagger (SC1); low-light vision (SC1); summon monster FOCUS|
1,candy made with wintergreen oil|Spell=moon blade (SC1)|
1,carved ram's horn|Spell=battering ram FOCUS (SC1)|
1,chalk|Spell=0|
1,child's spinning top|Spell=cyclonic blast FOCUS (SC1); ray of dizziness FOCUS (SC1)|
1,claw of a cat|Spell=claws of the demon (101Sp)|
