# ------------------------------------------------------
# Last Update: modified by Valminder Mar 28, 2018.
# ------------------------------------------------------
#
# Flower
#
# To call this table from another one:
#    [Flower.(%AddDC%)
#
#    Parameters: (%AddDC%)
#
#    AddDC:  1   Add DC to identify flower and DC to craft a concoction?
#                1=Yes, 2=No. 
#
# -------------------------------------------------------------------------
# This Table Links to these tables as required:
#    None
#
# -------------------------------------------------------------------------
# This table is called by: (can be called by other tables also)
#    None
#
# -------------------------------------------------------------------------
#
# Modified by Valminder, May 2018.
#    Added link to: 
#       Herb Names.Start(1,2)
#    Fixed output.
#    Fixed wrong subtable name.
#    Add DC to itntify/craft concoction
#

%AddDC%,0
%CBall%,6
%CCone%,4
%CLine%,2
%CMany%,1
%CN%,19
%CSeveral%,6
%CY%,1
%Cfew%,3
%FGargantuan%,1
%FLarge%,4
%FMedium%,35
%FSmall%,30
%FTiny%,18
%PMany%,3
%PSeveral%,15
%Pfew%,2

@AddDC,1,Add DC to identify flower and DC to craft a concoction?,Yes,No

:Start
1,<b>Flower:</b> [Herb Names.Start(1,2)].<br>
_{Space~5}<b>Shape:</b> [Shape].
_{Space~5}<b>Size:</b> [Size].<br>
_{Space~5}<b>Cluster:</b> [Cluster].<br>
_{Space~5}<b>Color:</b> [~Color].<br>
_{Space~5}<b>Pattern:</b> [Pattern] [Speckle].<br>
_{Space~5}<b>Texture:</b> [~Texture].<br>
_{Space~5}<b>Scent:</b> [Odor].
_{If~%AddDC%=1?[AddDC]}

;Shape
2,Bell Shape|CN=5||Cfew=3||FMedium=15||FTiny=30|<br>
4,Funnel-Shape|Cfew=4||CSeveral=4||PMany=1|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
4,Trumpet Shape|Cfew=4||CSeveral=4||PMany=1|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
_{Space~5}<b>Depth:</b> [~Depth1]<br>
3,Salverform (Long thin tube, then flattens out)|Cfew=2||FTiny=14||CSeveral=3||PMany=1|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
_{Space~5}<b>Depth:</b> [~Depth1]<br>
1,Tubular|CY=4||CN=3||CMany=2||FMedium=18||FTiny=25||FLarge=2|<br>
_{Space~5}<b>Depth:</b> [~Depth]<br>
1,Urn Shaped (Similar to a ball with a sudden opening)|FMedium=18||FTiny=20||CY=4||CN=3||CMany=2|<br>
4,Bowl-Shaped|Cfew=4||CSeveral=4||PMany=2|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
6,Saucer-Shaped|Cfew=4||CSeveral=4||Pfew=1||PSeveral=18|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
6,Stellate (Star-shaped)|CN=30||Cfew=4||CSeveral=4||PMany=4||Pfew=1||PSeveral=18|<br>
_{Space~5}<b>Number of Petals:</b> [Petal]<br>
3,Cruciform (Cross-Shaped - four petals at right angles)<br>
_{Space~5}<b>Number of Petals:</b> 4<br>
1,Labiate (lipped)|CN=8|<br>
