# ---------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Library Contents
#
# Table copyright of JB Willers
# GM Notebook Copyright of Bruce Gulke
# Original Idea - Colleen Bishop
# 
# M N O P are variables regarding the Tome Security
# 
# W L S are variables regarding the Library description
# 
# A is a variable regarding the Spell List Content 
# 
# Start by describing the Room itself
#
# Modified by Valminder April 2002
#    I changed the "START" line.
# Modified by Valminder, Octobre 2016
#    Modified link "Countries.Start" to "Countries.Countries"
#

/OverrideRolls 1

%L%,1
%W%,1
%S%,1
%A%,XXX
%N%,1

:Start
1,<b><u>Library Contents</u>:</b><br><br>[Generate]

:Generate
1,The library seems [Description].  The room is [Size].  <br><Br>On examination of one of the shelves closer to you, you find that it contains about [ShelfContent].  <br><Br>On the opposite shelf you find [ShelfContent]. <br><Br>Further on in the section you find [ShelfContent].<br><BR>[Special]

;Description
1,old and mouldy with an almost sickening smell that you can't really discribe...almost as if it smells of death
1,ancient beyond anything anyone in the party has ever seen and a thick layer of dust covers every inch of it
3,clean and neat and although whisps of dust can be detected with the slightest movement, it seems that the shelves are somehow protected from the dust and never settles on any of the shelves
1,as if it was spring cleaned yesterday and smells of fresh leather - the room, shelves and furniture are in immaculate condition and seems almost too clean

;Size
2,rather small, <b>{Dice~1d10*10}</b> feet long by <b>{Dice~1d10*10}</b> feet wide and cramped with <b>{Dice~1d5*5}</b> shelves squeezed into the room
3,rather small, <b>{Dice~1d10*10}</b> feet long by <b>{Dice~1d10*10}</b> feet wide but has a spacious lay-out with <b>{Dice~1d3*3}</b> shelves
2,rather big, <b>{Dice~2d10*10}</b> feet long by <b>{Dice~2d10*10}</b> feet wide and cramped with <b>{Dice~1d10*10}</b> shelves squeezed into the room
1,rather large, <b>{Dice~2d10*10}</b> feet long by <b>{Dice~2d10*10}</b> feet wide but has a spacious lay-out with <b>{Dice~1d5*5}</b> shelves

# ------------------------------------------------------
# Now describe the individual shelves and their contents

;ShelfContent
3,<b>{Dice~1d10*10}</b> Scrolls.  The scrolls in this section of the shelf seem to [ScrollContent] and the scroll[ScrollCondition]
2,<b>{Dice~2d6}</b> Books.  Selecting one of these [BookDesc] books from random on the shelf it seem to deal with [BookContent]
