# ---------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Modern Clothing
# by Joey Joe Joe
# September 2005
#
# This table will give a first impression description of what a person is wearing.
# The parameters will allow you to choose the gender and also a basic style of clothing,
# or you can choose to have the computer select randomly.
#
# -------------------------------------------------------------------------
#
# To call this table from another one:
#    [MODERN Clothing.Start(%Style1%,%Gender1%,2)
#
#    Style1:       7  Enter the style of clothing.
#                     1= Rags, 2= Casual, 3= Business, 4= Event,
#                     5= Uniform, 6=Shocking, 7=Random
#    Gender1:      3  1= Male, 2= Female, 3= Random
#    Instructions: 3  1= Shows instructions (if called from .Start)
#                     2= To activate the table (if called from .Start)
#
# -------------------------------------------------------------------------
#
# Modified by Valminder, Feb 2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#

# 1=View instructions again, 2=Roll
%Instructions%,1

# Gender - 1=male, 2=female
%Gender%,0
%Gender1%,3

# Style 1=rags 2=casual 3=business 4=dress up 5=uniform 6=LOOK AT ME 7=random
%Style%,7
%Style1%,1

@Style1,7,What style of clothing is the person wearing?,Rags,Casual,Business,Event,Uniform,Shocking,Random
@Gender1,3,Choose the gender of the person you wish to generate clothing for?,Male,Female,Random
@Instructions,2,View these instructions again?,Yes,No

:Start
1,{If~%Instructions%=1? [Intro] /
_|Gender=[RandomGender=%Gender1%]|
_|Style=[SetStyle=%Style1%]|[Generate]}

;Intro
1,<h1>Modern Clothing</h1>
_This table will give a first impression description of what a person is wearing.<br><br>
_The parameters will allow you to choose the gender and also a basic style of clothing, or you can choose to have the computer select randomly.<br><br>
_Click the parameter button, in the upper left corner, answer the questions and then click the ROLL Button.<br><br><br><br><br><br>

;SetStyle
1,Rags
1,Casual
1,Business
1,Event
1,Uniform
1,LOOKATME
1,[RandomStyle]

;Generate
1,{If~%Gender%=Male? He/ She} is wearing a [%Gender%%Style%] [AdditionalDescript].

:RandomGender
1,Male
2,Female
3,[RandomGender]

;RandomStyle
2,Rags
10,Casual
5,Business
1,Event
2,Uniform
1,LOOKATME

# --------------------------------------------------------------------------
# These two groups allow a simple method for other tables to call this data.

:Male
1,|Gender=Male||Style=[RandomStyle]| [Generate]
:Female
1,|Gender=Female||Style=[RandomStyle]| [Generate]

# --------------------------------------------------------------------------

;!ClothingColors
5,
10,[Miscellaneous.ColorNoType] patterned
1,[Miscellaneous.ColorNoType] and [ClothingColorPallet] striped
3,[Miscellaneous.ColorNoType]
3,[ClothingColorPallet]
