# ---------------------------------------------------
# Last Update: verified by Valminder Mar 23, 2018.
# ---------------------------------------------------
#
# Group Designer Version 3.1
#
# Future Changes Planned for Groups Designer.tab, in order of importance
#   The addition of more Compound Noun Tables-Like Spell-Forgers, or Shadow-
#   Weavers, minor 'bug' fixes, Table Fine-Tuning-Numbers Table in particular
#
#   The further expansion of more nouns, adjs,colors, etc... And more control
#   over the amount of adjectives
#
#   The Creation of a more General Group Table
#
#   Limited mixings of the various tables-Arcane, Mystic, and others...
#   Further Parameters to customize the results, including the ability to
#   select the number of nouns/adjs, and the likelihood of certain tables 
#   occuring
#
#   the addition of Alignment-based naming modifiers
#
# Send all enquiries, comments and criticisms to Michael Ullom at
# Schadwe@aol.com (or to the Yahoo group to reach Valminder).
#
# -------------------------------------------------------------------------
#
# To call this table from another one:
#                         (No ~ with the first 2 since ~ is included)
#    Arcane group:        [Group Designer.StartArcane
#    Mystic group:        [Group Designer.StartMystic
#    Miscellaneous group: [~Group Namer.BuildGroup
#
#    or use parameters
#    
#    [Group Designer.Generate(%GroupPick%)
#    Random = [Group Designer.Generate(5)
#
#    Parameters: (%GroupPick%)
#
#    GroupPick: (Default=1)
#               1= Show ALL groups generated by this table.
#               2= Generate name for arcane group.
#               3= Generate name for mystic group.
#               4= Generate name for miscellaneous group.
#               5= Generate random group.
#
# -------------------------------------------------------------------------
# This Table Links to these tables as required:
#    Group Namer.tab
#    Religion.tab
#
# -------------------------------------------------------------------------
# This table is called by:
#    Zombie Appearance.tab
#
# -------------------------------------------------------------------------
#
# Modified by Valminder, Nov 2005.
#    I added the subtables: (ling with "City Encounters.tab")
#        RandomGroup
#        RandomGroupID
# Modified by Valminder, Jan 2006.
#    Added link to: [Group Namer.BuildGroup]
#

%GroupPick%,1

@GroupPick,1,Select the group to generate,ALL,Arcane,Mystic,Miscellaneous,Random

:Start
1,{Status~By Michael Ullom and Valminder}[Generate]

:Generate
1,{If~%GroupPick%=5? |GroupPick={Dice~1d3+1}|}
_[RandomGroup=%GroupPick%]

:RandomGroup
1,[ShowALL]
2,[StartArcane]
3,[StartMystic]
4,[~Group Namer.BuildGroup]

:ShowALL
1,<b><u>Arcane Group</u>:</b> [StartArcane]<br><br>
_<b><u>Mystic Group</u>:</b> [StartMystic]<br><br>
_<b><u>Miscellaneous Group</u>:</b> [~Group Namer.BuildGroup]<br><br>

:RandomGroupID
1,[StartArcane] (Arcane)
2,[StartMystic] (Mystic)

###Arcane Starting point###

:StartArcane
1-75,[~ArcMainNoun] of [~ArcStuffPS]
76-90,[~ArcOnlyNoun] 
91-95,[~ArcMainNoun] of [~ArcStuff] of [~ArcStuffs]
96-100,[~ArcMainNoun] of [~ArcStuff] of [~ArcStuffPS]

###Mystic Starting Point###

:StartMystic
1-75,[~MysMainNoun] of [~MysStuffPS]
76-90,[~MysMainNoun] 
91-95,[~MysMainNoun] of [~MysStuff] of [~MysStuffs]
96-100,[~MysMainNoun] of [~MysStuff] of [~MysStuffPS]





###Arcane 'Meta-Tables'###
:ArcMeta1PL
1-4,The [IntimidatingNumber]
5-8,[The] [ArcaneDesc]
9-10,[The] [Metal]
11,[The] [Color]
12,[The] [Elemental]

:ArcMeta1
1-4,The [IntimidatingNumbers]
5-8,The [ArcaneDesc]
9-10,The [Metal]
11,The [Color]
12,The [Elemental]


:ArcMeta1PLX
1,The [IntimidatingNumber]
2,[The] [ArcaneDesc]
3,[The] [Metal]
4,[The] [Color]
5,[The] [Elemental]

:ArcMeta1X
1,The [IntimidatingNumbers]
2-4,The [ArcaneDesc]
5,The [Metal]
6,The [Color]
7,The [Elemental]


:ArcOnlyNoun
1,[ArcMeta1X] [ArcGroup]
2,[ArcMeta1PLX] [ArcGroups]



:ArcMainNoun
1,[ArcMeta1] [ArcGroup]
2,[ArcMeta1PL] [ArcGroups]

:ArcStuffPS
1,[ArcMeta1] [ArcObject]
2,[ArcMeta1PL] [ArcObjects]



:ArcStuff
1-5,[ArcMeta1] [ArcObject]
6-7,[ArcaneObjectsProper]



:ArcStuffs
1,[ArcMeta1PL] [ArcObjects]

:ArcStuffAdj
1,[ArcMeta1]
2,[ArcMeta1PL]

:ArcObject
1,[ArcaneObject]
2,[Celest]

:ArcObjects
1,[ArcaneObjects]
2,[Celests]

:ArcGroup
1-10,[ArcaneGroups]
11-15,[ArcaneGroupGroup]
16-18,[Celest]
19-24,[ArcaneObject]

:ArcGroups
1-10,[ArcaneGroups]
11-15,[ArcaneGroupGroups]
16-18,[Celests]
19-24,[ArcaneObjects]


:!ArcaneObjectsProper
1-10,[GodD] [Religion.Deities(2)]
11-15,[ArcaneOther]


###Beginning of Mystic 'Meta-Tables'###

:MysMeta1PL
1-4,The [IntimidatingNumber]
5-8,[The] [MysticDesc]
9-10,[The] [Metal]
11,[The] [Color]
12,[The] [Elemental]

:MysMeta1
1-4,The [IntimidatingNumbers]
5-8,The [MysticDesc]
9-10,The [Metal]
11,The [Color]
12,The [Elemental]


:MysMeta1PLX
1,The [IntimidatingNumber]
2,[The] [MysticDesc]
3,[The] [Metal]
4,[The] [Color]
5,[The] [Elemental]

:MysMeta1X
1,The [IntimidatingNumbers]
2-4,The [MysticDesc]
5,The [Metal]
6,The [Color]
7,The [Elemental]


:MysOnlyNoun
1,[MysMeta1X] [MysGroup]
2,[MysMeta1PLX] [MysGroups]



:MysMainNoun
1,[MysMeta1] [MysGroup]
2,[MysMeta1PL] [MysGroups]

:MysStuffPS
1,[MysMeta1] [MysObject]
2,[MysMeta1PL] [MysObjects]



:MysStuff
1-5,[MysMeta1] [MysObject]
6-7,[MysticObjectsProper]



:MysStuffs
1,[MysMeta1PL] [MysObjects]

:MysStuffAdj
1,[MysMeta1]
2,[MysMeta1PL]

:MysObject
1,[MysticObject]
2,[Celest]

:MysObjects
1,[MysticObjects]
2,[Celests]



:MysGroup
1-10,[MysticGroups]
11-15,[MysticGroupGroup]
16-18,[Celest]
19-24,[MysticObject]

:MysGroups
1-10,[MysticGroups]
11-15,[MysticGroupGroups]
16-18,[Celests]
19-24,[MysticObjects]


:!MysticObjectsProper
1-10,[GodD] [Religion.Deities(2)]
11-15,[MysticOther]




###Starting Point of Arcane Descriptions###

:!ArcaneGroup
1,Caballist
2,Witche
3,Warlock
4,Sorcerer
5,Wizard
6,Mage
7,Magician
8,Summoner
9,Servant
10,Student
11,Master
12,Lord
13-20,[Specialist]
21,Infernalist
22,Magister
23,Apprentice
24,Disciple
25,Astrologer
26,Investigator
27,Patron
28,Guardian
29,Custodian
30,Watcher
