# ---------------------------------------------------
# Last Update: verified by Valminder August 4, 2006.
# ---------------------------------------------------
#
# Criticals and Fumbles
#
# by Valminder, March 2002, modified for 3rd Edition D&D
# based on the "Good hits & bad misses" from Dragon Magazine #39
# (July 1980) and reprinted in the Best of Dragon magazine, vol. V
# (May 1986).
# Modified, August 2005. 
#    -Halved the duration of stun effects.
#    -Added some alternate fumbles.
# Modified, Jan 2006.
#    -Added fumbles: Disease, fatigue.
#    -Reworked the fumble table and removed the Fumble2 table.
#    -Fumble: removed the stunned condition on the first fumble.
#    -piercing: added punctured artery.
# Modified, Dec 2010
#    -Criticals and Fumbles for Spells and Magic.
#

/OverrideRolls 1

:Start
1,<i>Bite:</i> slashing, blunt, and piercing (choose one of the 3 effects).<br>
_<i>Claw / Rake:</i> blunt and piercing (choose on of the 2 effects).<br>
_<i>Gore:</i> piercing.<br>
_<i>Slap / Slam:</i> blunt.<br>
_<i>Sting:</i> piercing.<br>
_<i>Tentacle:</i> blunt (sometimes slashing).<br><br>
_<hr><br><b>Slashing:</b> [~Slashing]
_<br><b>Blunt:</b> [~Blunt]
_<br><b>Piercing:</b> [~Piercing]
_<br><b>Magic:</b> [~Magic]
_<br><br><b><i>Fumble:</b></i> [~Fumble]
_<br><b><i>Fumble, Magical:</b></i> [~FumbleMagic]
_<br><br><hr><u>Prone Condition</u>: The character is on the ground. -4 AC vs melee attacks, +4 AC vs ranged attacks.
_<br><u>Prone and Stunned Condition</u>: (As above) Drop everything held, can't take actions, -2 penalty to AC (total -6 vs melee; +2 vs ranged), and loses his Dexterity bonus to AC (if any).
_<br>*<u>Shield/Helmet destroyed</u>: the item is destroyed but you don't suffer the effect of the critical hit.
_<br><hr><br><b><u>Critical Hit:</b></u><br>
_A threat is made as per the normal rules from the <i>Player's Handbook</i>. If the threat roll hits the target again, a critical hit is scored and the attacker rolls 1d100 in the appropriate table: blunt, piercing, or slashing.<br>
_<u>Optional Rule</u>: If, on the threat roll, the attacker hits the target and gets another threat, he must roll again for an extra critical hit. If this second threat hits the target, the critical hit is much better, and the damage are multiplied by x2 (as per the rules, if it was x2 it becomes x3). The attacker continues like this as long as he gets a threat and hits the target with the threat. Roll only once in the critical hit table.<br><br>
_<b><u>Critical Hits: Special Effects</b></u> (-2 penalties)<br>
_<b>Arm:</b> Climb and Swim; attack rolls and Strength.<br>
_<b>Hand:</b> Alchemy, Climb, Craft, Disable Device, Escape Artist, Forgery, Heal, Open Lock, Pick Pocket, and Use Rope; attack rolls.<br>
_<b>Eye (1):</b> Appraise, Alchemy, Craft, Decipher Script, Disable Device, Forgery, Open Lock, Read Lips, Scry, Search, Sense Motive, Spellcraft, Spot, Wilderness Lore (track only); initiative; Dex checks; Reflex saves. Blind if both eyes.<br>
_<b>Ear (1):</b> Listen; initiative. Deaf if both ears.<br>
_<b>Feet/Leg:</b> Balance, Climb, Jump, Move Silently, Ride, Swim, Tumble; Dex checks, Reflex saves.<br>
_<b>Head:</b> Attack rolls, all saving throws, all other checks.<br><br>
_<b>Example</b>: If the "Primary arm (weapon) struck" critical hit is rolled, the target suffers a -2 penalty on its attack rolls, Climb and Swim checks, and its Strength score.<br><br>
_<u>Until Healed</u>: all the damage received from a critical hit must be healed to prevent the special effects of this critical hit. (Example: For the "Chest injuries (death in 2d4 rounds)" critical hit, all damage from this critical hit must be healed or death will happen in 2d4 rounds, even if only 1 hit point was not restored.)"<br><br>
_<b><u>Fumble:</b></u><br>
_A <i>fumble</i> is obtained when a natural "1" si rolled on any attack roll. This has 2 effects:<br>
_1- All attacks after the "1", in the same action (not for AoO made later in the round), are cancelled. So, a "1" on an AoO cancels only this AoO.<br>
_2- The attacker rolls 1d100 in the fumble table and suffers the consequences.<br><br>
_Note: if the critical hit or the fumble result rolled does not apply (ex: the target does not have a shield), the critical hit is made normally or there is no other effects from the fumble, except losing the attacks after the "1".<br>

;Tab
1,{Loop~5,&nbsp;}

:Slashing
1-45,Normal Critical Hit.
46-60,Critical Hit +1x.
61-62,Shield destroyed.
63,Helmet destroyed (or other head-worn item).
64,Helm removed (lose 1 ear and <i>stun</i> <b>{Dice~1d4}</b> rounds).
65,Voice box punctured (no talking) or helmet destroyed*.
66,Ear removed or helmet destroyed*.
67,Ear removed (no effect if helmed).
68,Eye removed or helmet destroyed*.
69,Eye removed.
70,Knee split (½ MV).
71,Knee split (no MV).
72,{Dice~1d3} fingers removed.
73,Leg removed at ankle (no MV).
74,Leg removed at knee (no MV).
75,Leg removed at hip (no MV).
76,Shield arm removed at wrist or shield destroyed*.
77,Shield arm removed at elbow or shield destroyed*.
78,Shield arm removed at shoulder or shield destroyed*.
79,Shield arm removed at wrist.
80,Shield arm removed at elbow.
81,Shield arm removed at shoulder.
82,Primary arm (weapon) removed at wrist.
83,Primary arm (weapon) removed at elbow.
84,Primary arm (weapon) removed at shoulder.
85,Abdominal injuries (½ carrying capacity).
86,Chest injuries (½ carrying capacity).
87,Abdominal injuries (death in <b>{Dice~1d6}</b> days).
88,Chest injuries (death in <b>{Dice~1d4}</b> days).
89,Abdominal injuries (death in <b>{Dice~2d6}</b> rounds).
90,Chest injuries (death in <b>{Dice~2d4}</b> rounds).
91,Abdominal injuries (death in 1 round).
92,Chest injuries (death in 1 round).
93,Throat cut (death in 1 round) or helmet destroyed*.
94,Throat cut (death in 1 round).
95,Decapitated (immediate death) or helmet destroyed*.
96,Decapitated (immediate death).
97-100,Critical Hit +2x.

:Blunt
1-45,Normal Critical Hit.
46-60,Critical Hit +1x.
61-62,Shield destroyed.
63,Helmet destroyed (or other head-worn item).
64-65,Shield arm struck (no shield for <b>{Dice~1d6}</b> rounds).
66-67,Shield arm broken or shield destroyed*.
68-69,Primary arm (weapon) struck.
70-71,Primary arm (weapon) struck hard (effects at -4).
72-73,Primary arm (weapon) broken (unusable).
74-75,Primary hand (weapon) struck.
76-77,Primary hand (weapon) broken (unusable).
78-80,Chest struck (<i>stun</i> <b>{Dice~1d4}</b> rounds).
81-82,Ribs broken, lungs punctured (no MV, -2 everything).
83,Ribs broken, heart punctured (death in 1 round).
84-86,Leg struck; fall down.
87-88,Leg struck; fall down (½ MV).
89-90,Leg broken; fall down (no MV).
91-92,Head struck (lose <b>{Dice~1d3}</b> INT) or helmet destroyed*.
93-94,Head struck (lose <b>{Dice~1d3}</b> INT).
95,Skull crushed (immediate death) or helmet destroyed*.
96,Skull crushed (immediate death).
97-100,Critical Hit +2x.

:Piercing
1-45,Normal Critical Hit.
46-60,Critical Hit +1x.
61,Helmet removed (or other head-worn item).
62-63,Shield arm unusable (no shield for <b>{Dice~1d6}</b> rounds).
64-65,Primary arm (weapon) struck.
66-67,Primary arm (weapon) struck (effects at -4).
68-69,Primary arm (weapon) struck (unusable).
70-71,Lungs punctured (no MV, -4 everything).
72-73,Artery punctured (lose 1 hp/round).
74,Heart punctured (death in 1 round).
75-76,Abdominal injuries (death in <b>{Dice~1d6}</b> days).
77-78,Chest injuries (death in <b>{Dice~1d4}</b> days).
79-80,Abdominal injuries (death in <b>{Dice~2d4}</b> rounds).
81-82,Chest injuries (death in <b>{Dice~2d4}</b> rounds).
83,Abdominal injuries (death in 1 round).
84,Chest injuries (death in 1 round).
85-86,Eye punctured or helmet destroyed*.
87-88,Eye punctured.
89-90,Larynx punctured (no talking) or helmet destroyed*.
91-92,Larynx punctured (no talking).
93,Throat struck (death in 1 round) or helmet destroyed*.
94,Throat struck (death in 1 round).
95,Head struck (immediate death) or helmet destroyed*.
96,Head struck (immediate death).
97-100,Critical Hit +2x.

:Magic
01-45,Critical hit x2.
46-60,Critical hit x3.
61-64,Crit x2. Spell if harder to dispel (DC13 + caster level).
65-68,Crit x2. Save: +2 DC.
