# ---------------------------------------------------
# Last Update: verified by Valminder August 4, 2006.
# ---------------------------------------------------
#
# Criticals and Fumbles
#
# by Valminder, March 2002, modified for 3rd Edition D&D
# Modified, August 2005. 
#    -Halved the duration of stun effects.
#    -Added some alternate fumbles.
# Modified, Jan 2006.
#    -Added fumbles: Disease, fatigue.
#    -Reworked the fumble table and removed the Fumble2 table.
#    -Fumble: removed the stunned condition on the first fumble.
#    -piercing: added punctured artery.
# Modified, Dec 2010.
#    -Using Blood & Guts Modern Military: Combat Procedures (RPGObjects)
#    -Critical on Vehicles: Modern Dispatch 96.
#    -Criticals and Fumbles for magic.
#

/OverrideRolls 1

:Start
1,
#_<i>Bite:</i> tranchant, contondant et perçant (choisir un des 3 effets).<br>
#_<i>Claw / Rake:</i> contondant et perçant (choisir un des 2 effets).<br>
#_<i>Gore:</i> perçant.<br>
#_<i>Slap / Slam:</i> contondant.<br>
#_<i>Sting:</i> perçant.<br>
#_<i>Tentacule:</i> contondant (quelques fois tranchant).<br><br>
#_<hr><br><b>Tranchant / Slashing:</b> [~Slashing]
#_<br><b>Contondant / Blunt:</b> [~Blunt]
#_<br><b>Perçant / Piercing:</b> [~Piercing]
_<br><b>Véhicules:</b> [~Vehicles]
_<br><b>Magique:</b> [~Magic]
_<br><br><b><i>Fumble Gun:</b></i> [~FumbleGun]
_<br><b><i>Fumble Mêlée:</b></i> [~Fumble]
_<br><b><i>Fumble Magique:</b></i> [~FumbleMagic]
_<br><br><hr><u>Au sol</u>: -4 CA vs attaques de mêlée, +4 CA vs attaques de distance.
_<br><u>Au sol et <i>Stunned</i></u>: (Voir ci-dessus) Échappe ce qu'il tient, aucune action, -2 CA (total: -6 vs mêlée; +2 vs distance), et perd bonus de Dextérité de CA.
_<br>*<u>Bouclier/Casque détruit</u>: l'objet est détruit, mais tu ne reçois pas l'effet du coup critique.
_<br><hr><br>
_<b><u>Misfire</u>:</b> {Color~Blue,Concentration DC 15}.
_<br>This check represents how carefully you loaded your firearm and how methodically you have cleaned, repaired, and maintained the weapon over time.
_<br><u>Repair 5+ ranks</u>: {Color~Green,+2 Concentration vs Misfire}.
_<br>DC Modifier
_<br>{Color~Red,+2}[Tab]Percussion firearm / Flintlock firearm
_<br>{Color~Red,+2}[Tab]Unreliable firearm <i>(poorly maintained firearm, poorly designed firearm, firearm older than 20 years, cheap knock-off)</i>
_<br>{Color~Red,+4}[Tab]Notoriously unreliable firearm <i>(abysmally maintained, dangerously designed, firearm older than 50 years, shoddily made knock-off)</i>
_<br>{Color~Red,+2}[Tab]Damaged firearm <i>(more than half hp remaining</i>
_<br>{Color~Red,+4}[Tab]Heavily damaged firearm <i>(less than half hp remaining)</i>
_<br>{Color~Red,+2}[Tab]Inclement weather <i>(rain, snow, fog, etc.)</i>
_<br>{Color~Red,var}[Tab]Unfamiliar firearm <i>(For firearms not loaded or maintained by the firing character, the GM should feel free to set the DC.)</i>
_<br><br>{Color~Green,<u>Success</u>:} <b>Dud.</b> The primer either doesn't fire or fails to ignite the main charge of powder.
_<br>[Tab]-Percussion or Flintlock: The percussion cap or priming-powder fails to ignite the main charge. Although the weapon remains loaded, the cap or priming-powder needs to be replaced before the ammunition may be discharged. This requires a move action to accomplish by itself, or occurs automatically during reloading.
_<br>[Tab]-Metallic Cartridge: The primer fails and the bullet must be completely replaced. Removing the dud round is no trickier than removing a spent casing, happening automatically during reloading or whenever a spent casing would be ejected normally by the lever or pump action of the weapon.
_<br><br>{Color~Red,<u>Failure by 1-4</u>:} <b>Jam.</b> The ammunition not only fails to fire, but becomes jammed in the barrel or breech. Clearing the jam requires a Repair or DEX check.
_<br>[Tab]<u>Percussion or Flintlock</u>: Revolving breech (DC15;4 FULL); Breechloader (DC15;4 FULL); Muzzleloader (DC20;1 hour).
_<br>[Tab]<u>Metallic Cartridge</u>: Revolving breech (DC10;2 FULL); Breechloader (DC10;2 FULL); Repeating longarm (DC10;2 FULL); Gatling gun (DC10;4 FULL).
_<br>[Tab]Removing jammed ammunition from a percussion revolver or breechloader typically involves boring into the ammunition and pulling it out using special tools. Muzzleloaders must be disassembled to remove a jam. When metallic cartridge ammunition becomes jammed due to swelling relative to the barrel, the shell must be pried or bored free.
_<br>[Tab]The continued functionality of a jammed weapon also depends on the type of firearm, as indicated by the following:
_<br>[Tab][Tab]-<u>Pepperbox (pistol or longarm) or Revolver</u>: Only the chamber with the dud cannot be reloaded until the jam is cleared. The remaining chambers can still be reloaded and fired normally; however, each time the jammed ammunition comes up in the firing sequence, the shooter must advance the cylinder or firing pin to the next chamber. For a pepperbox this requires a move action; for a revolver it requires the expenditure of one of the character's available attacks.
_<br>[Tab][Tab]-<u>Single-barrel One-Shot Firearm</u>: For a single-barreled muzzleloader or breechloader, the jam must be cleared before the weapon can be used again.
_<br>[Tab][Tab]-<u>Double-barrel Firearm</u>: For a muzzleloader or breechloader, the jammed barrel cannot be used again until the jam is cleared. The remaining barrel can still be loaded and fired as normal.
_<br>[Tab][Tab]-<u>Repeating Rifle or Shotgun</u>: The breech must be cleared before the weapon may be fired again. 
_<br>[Tab][Tab]-<u>Gatling Gun</u>: The jam must be cleared before the weapon can be fired again.
_<br><br>{Color~Red,<u>Failure by 5+</u>:} <b>Minor Mishap.</b> Weapon fails to fire and is damaged in the process. (1d4 or GM's choice).
_<br>[Tab]<b>Damage to weapon:</b> x2 the normal weapon's damage. The weapon cannot be used again until repaired. Even if the weapon didn't suffer damage (due to its hardness), repairing the weapon is considered a complex task.
_<br>[Tab]1- <i>Mechanical Failure:</i> A spring, pin, roller, or other critical component breaks. The ammunition is unspent, but the weapon is no longer functional.
_<br>[Tab]2- <i>Misaligned Cylinder:</i> The cylinder doesn't lock into place correctly and the bullet doesn't enter the barrel cleanly.
_<br>[Tab]3- <i>Over fire:</i> The charge of powder exploded with a force too large for the breech or barrel to hold and the weapon is damaged.
_<br>[Tab]4- <i>Under fire:</i> The bullet fails to escape the barrel and becomes lodged.
_<br><br>{Color~Red,<u>Failure by 10+</u>:} <b>Major Mishap.</b> Weapon doesn't fire and a catastrophic failure ensues. (1d2 or GM's choice).
_<br>[Tab]<b>Damage to weapon:</b> weapon destroyed. Characters and unattended objects (5' radius) take ballistic damage (x2 normal weapon's damage; Reflex ½ DC12).
_<br>[Tab]1- <i>Chainfire:</i> If the weapon is a percussion weapon with a revolving breech (or a percussion multi-barreled breechloader or muzzleloader) the ignition of one chamber sparks the other chambers as well, leading to the uncontrolled simultaneous firing of all remaining ammunition.
_<br>[Tab]2- <i>Explosion:</i> A metallurgical failure occurs and the chamber blows out, launching shrapnel in an area around the shooter. 
_<br><br><b><u>Coup Critique</u>:</b> Une menace (de coup critique) est obtenue selon les règles normales du Manuel des Joueurs. Si l'attaquant touche sa cible il obtient un coup critique et il doit rouler un d100 dans la table correspondante à l'arme utilisée. Si, sur un coup critique, il obtient encore une menace, il doit rouler de nouveau. S'il touche encore, son coup critique est encore meilleur et est augmenté de +1x les dégâts. Il continue ainsi tant qu'il obtient une menace.<br><br>
_<b><u>Coups Critiques: Effets Spéciaux</b></u> (pénalité de -2)<br>
_<b>Bras:</b> Climb et Swim; lancés pour toucher et FOR.<br>
_<b>Main:</b> Alchemy, Climb, Craft, Disable Device, Escape Artist, Forgery, Heal, Open Lock, Pick Pocket, et Use Rope; lancés pour toucher.<br>
_<b>Oeil (1):</b> Appraise, Alchemy, Craft, Decipher Script, Disable Device, Forgery, Open Lock, Read Lips, Scry, Search, Sense Motive, Spellcraft, Spot, Wilderness Lore (pister seulement); initiative; lancés de DEX; SAVE Réflexes. Les 2 yeux rend aveugle.<br>
_<b>Oreille (1):</b> Listen; initiative. Les 2 oreilles rend sourd.<br>
