# ---------------------------------------------------
# Last Update: modified by Valminder August 7, 2006.
# ---------------------------------------------------
#
# Random gem generator with values and descriptions
# Based on Charts in 1ED DMG
# Scott Kinsey (smkinsey@redrose.net)
# 
# Value represents Class type (base value).
#    1 = Ornamental Stone (10 gp)
#    2 = Semi-precious Stone (50 gp)
#    3 = Fancy Stone (100 gp)
#    4 = Precious Stone (500 gp)
#    5 = Gems (1000 gp)
#    6 = Jewels (5000 gp)
#    7 = Hardstones (Varies)
#    8 = Shells (Varies)
#
# -------------------------------------------------------------------------
#
# To call this table from another one:
#    [Gems2.Generate(%ShowClass%,%ShowDesc%)
#
#    Normal Output: "a peridot worth 500 gp"
#
#    Parameters: (%ShowClass%,%ShowDesc%)
#
#    ShowClass:    Show the type of gem (Ornamental Stone, Semi-
#                  precious Stone, Fancy Stone, Precious Stone,
#                  Gems, Jewels, Hardstones, Shells).
#                  1= Yes, 2= No.
#                  Output: "a peridot (precious stone) worth 500 gp"
#    ShopDesc:     If available, a descriptio will appear.
#                  1= Yes, 2= No.
#                  Output: "a peridot (a transparent rich olive green stone) worth 500 gp"
#
#    Output (both at "Yes"): "a peridot (precious stone; a transparent rich olive green stone) worth 500 gp"
#
# -------------------------------------------------------------------------
#
# You can also use: (no worth will be shown)
#    [Gems2.Alternate(%ShowClass%,%ShowDesc%)
#
#    Normal Output: "a peridot"
#    Output: "a peridot (precious stone)"
#    Output: "a peridot (a transparent rich olive green stone)"
#    Output (both at "Yes"): "a peridot (precious stone; a transparent rich olive green stone)"
#
# -------------------------------------------------------------------------
#
# Modified by Valminder, August  2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#    Merged with "list_hems.tab" by Michael Long 2000
#

%C%,0
%Value%,0
%f%,0
%Roll%,0
%GEMCLASS%,
%UNCUT%, 
%ShowClass%,2
%ShowDesc%,2
%Desc%,0

@ShowClass,2,Do you want to show the class of the gem,Yes,No
@ShowDesc,2,Do you want to show the description of the gem,Yes,No

:Start
1,{Status~By Scott Kinsey, Michael Long, Valminder 2006}[Generate]

;Generate
1,[Class]{If~%Value%<=6?[Variation]/|C=0|}{AorAn~[Complete]}
9,[Class]{If~%Value%<=6?[Value=%Value%]/|C=0|}{AorAn~[Complete]}

:Class
1-25,|Value=1||GEMCLASS=ornamental stone|
26-50,|Value=2||GEMCLASS=semi-precious stone|
51-65,|Value=3||GEMCLASS=fancy stone|
66-80,|Value=4||GEMCLASS=precious stone|
81-90,|Value=7||GEMCLASS=hardstone|
91,|Value=8||GEMCLASS=shell|
92-99,|Value=5||GEMCLASS=gem|
100,|Value=6||GEMCLASS=jewel|

:Complete
1,%UNCUT% [Gemtype=%Value%]

:Description
1,{If~{Or~%ShowClass%=1,{And~%ShowDesc%=1,%Desc%!=0}=1}=1? (}
_{If~%ShowClass%=1?%GEMCLASS%}
_{If~{And~{And~%ShowDesc%=1,%Desc%!=0}=1,%ShowClass%=1}=1?; }
_{If~{And~%ShowDesc%=1,%Desc%!=0}=1?%Desc%}
_{If~{Or~%ShowClass%=1,{And~%ShowDesc%=1,%Desc%!=0}=1}=1?)}

# ---------------------------------------------------------

# No worth appears on the output
:Alternate
1,[Class]{If~%Value%<=6?[Variation]/|C=0|}[CompleteAlternate]
9,[Class][CompleteAlternate]

:CompleteAlternate
1,%UNCUT% [GemtypeAlternate=%Value%]

:GemtypeAlternate
1,[Gem1][Description]
2,[Gem2][Description]
3,[Gem3][Description]
4,[Gem4][Description]
5,[Gem5][Description]
6,[Gem6][Description]
7,|Roll={Dice~1d100}|[Gem7=%Roll%][Description]
8,|Roll={Dice~1d100}|[Gem8=%Roll%][Description]

# ---------------------------------------------------------
# Only the name of the gem appears.

:Name of Gem
# Ornamental
1-25,[Gem1]
# Semi-Precious
26-50,[Gem2]
# Fancy
51-65,[Gem3]
# Precious
66-80,[Gem4]
# Hardstones
81-90,[Gem7]
# Shells
91,[Gem8]
# Not Gems
92-99,[Gem5]
# Jewels
100,[Gem6]

# ---------------------------------------------------------

;Variation
1,|Value+1|{If~%Value%>7|Value=7|}[Value=%Value%]|UNCUT= |
1,[Value=%Value%]|C*2||UNCUT= |
1,[Value=%Value%]|f={Dice~1d6}||f/10||C*%f%||UNCUT= |
1,[Value=%Value%]|f={Dice~1d4}||f/10||f+1||C*%f%||UNCUT= |
1,[Value=%Value%]|C/2||UNCUT= |
1,|Value-1|{If~%Value%<1?|Value=1|}|C=5||UNCUT= |
2,[Value=%Value%]|C/10||UNCUT=rough |

:Value
1,|C=10|
2,|C=50|
3,|C=100|
4,|C=500|
5,|C=1000|
6,|C=5000|
7,|C=10000|

# ---------------------------------------------------------

:Gemtype
1,[Gem1][Description] worth [AddComma.Start(%C%)] gp
2,[Gem2][Description] worth [AddComma.Start(%C%)] gp
3,[Gem3][Description] worth [AddComma.Start(%C%)] gp
4,[Gem4][Description] worth [AddComma.Start(%C%)] gp
5,[Gem5][Description] worth [AddComma.Start(%C%)] gp
6,[Gem6][Description] worth [AddComma.Start(%C%)] gp
7,|Roll={Dice~1d100}|[Gem7=%Roll%][Description] worth [Gem7Value=%Roll%]
8,|Roll={Dice~1d100}|[Gem8=%Roll%][Description] worth [Gem8Value=%Roll%]

# Ornamental (10 gp)
;Gem1
1,agni mani|Desc=0|
1,algae|Desc=0|
1,augelite|Desc=0|
1,azurite|Desc=a mottled deep blue stones|
1,banded agate|Desc=a striped brown/blue/white/reddish stone|
1,bluestone|Desc=0|
1,blue quartz|Desc=a pale blue crystal|
1,chrysocolla|Desc=0|
1,corstal|Desc=0|
1,crown of silver|Desc=0|
1,disthene|Desc=0|
1,epidot|Desc=0|
1,eye agate|Desc=a stone with circles of gray, white, brown, blue, and/or green|
1,fire agate|Desc=0|
1,fluorspar|Desc=0|
1,frost agate|Desc=0|
1,goldline|Desc=0|
1,greenstone|Desc=0|
1,hematite|Desc=a grey-black shiny stone|
1,lapis lazuli|Desc=a light and dark blue stone with yellow flecks|
1,hyaline|Desc=0|
1,lynx eye|Desc=0|
1,malachite|Desc=a striated light and dark green stone|
1,moss agate|Desc=a pink or yellow-white stone with grayish or greenish "moss markings"|
1,microcline|Desc=0|
1,nelvine|Desc=0|
1,nune|Desc=0|
1,obsidian|Desc=a black stone|
1,oolite|Desc=0|
1,ophealine|Desc=0|
1,rhodoschrosite|Desc=a light pink stone|
1,rosaline|Desc=0|
1,sagenite|Desc=0|
1,sanidine|Desc=0|
1,sarbossa|Desc=0|
1,satin spar|Desc=0|
1,sharpstone|Desc=0|
1,sheen|Desc=0|
1,silkstone|Desc=0|
1,snowflake obsedian|Desc=0|
1,sunstone|Desc=0|
1,thuparlial|Desc=0|
1,tiger eye agate|Desc=a translucent rich brown stone with a golden center underhue|
1,turquoise|Desc=a light blue-green stone|
1,variscite|Desc=0|
1,violane|Desc=0|
1,webstone|Desc=0|
1,wonderstone|Desc=0|
1,woodtine|Desc=0|
1,zarbina|Desc=0|


# Semi-Precious Stones (50 gp)
;Gem2
2,alestone|Desc=0|
