# Last Update: verified by Valminder Oct 31, 2005.
# 
# Female Dwarves 2
#
# Originally from the iz Quick Name Generator
# Copyright 1999 Alan Derek Jones
#

:Start
1,{Cap~[Pre]}[Suff] {Cap~[Clan]}

:Pre
1,bal
2,belf
3,bif
4,bof
5,bol
6,bomb
7,d
8,dor
9,dorf
10,dur
11,dwal
12,far
13,fil
14,gil
15,glo
16,gor
17,kon
18,kor
19,kur
20,mor
21,na
22,no
23,nor
24,o
25,or
26,thor
27,thra
28,thro
29,tor
30,whar

:Suff
1,a
2,as
3,i
4,ia
5,if
6,il
7,is
8,la

:Clan
1,buhrodar
2,everast
3,hurwarf
4,skarrad
5,syrkist
6,syrkyst
7,torkrest
8,torkrest
9,wyrwarf
10,wyrwarf
