# Last Update: verified by Valminder Dec 20, 2005.
# 
:Start
1-10000,[Start]
10001,MINN
10002,MINKOWITZ
10003,MINKINS
10004,MINISTER
10005,MINIC
10006,MINHAS
10007,MINGIONI
10008,MINGEE
10009,MINERT
10010,MINCHOW
10011,MINCER
10012,MINALGA
10013,MIMOZO
10014,MILWARD
10015,MILSON
10016,MILOSCH
10017,MILLINGS
10018,MILLICK
10019,MILLARE
10020,MILKE
10021,MILINAZZO
10022,MILIN
10023,MILICH
10024,MILETTE
10025,MILE
10026,MILDRUM
10027,MILDON
10028,MILCHER
10029,MILBERGER
10030,MIKUSZEWSKI
10031,MIKLITZ
10032,MIKKO
10033,MIHALIOS
10034,MIHALICK
10035,MIETH
10036,MIERZWIAK
10037,MIERZWA
10038,MIEROW
10039,MIEREZ
10040,MIERAU
10041,MIELCAREK
10042,MIECZNIKOWSKI
10043,MIEARS
10044,MIDDLEKAUFF
10045,MICUCCI
10046,MICKELBERRY
10047,MICHNO
10048,MICHLICH
10049,MICHIELI
10050,MICHELSTEIN
10051,MICHELINI
10052,MICHALICEK
10053,MICHAL
10054,MICCICHE
10055,MICALIZZI
10056,MGUYEN
10057,MEZZINA
10058,MEZZENGA
10059,MEYDID
10060,MEUSEL
10061,MEUSA
10062,METTY
10063,METTIG
10064,METTENBURG
10065,METIER
10066,METH
10067,METELKO
10068,MESTEMACHER
10069,MESSAMORE
10070,MESPLAY
10071,MESPELT
10072,MESITI
10073,MESINA
10074,MESHYOCK
10075,MESENBRING
10076,MESCHKE
10077,MERZLAK
10078,MERRIH
10079,MERNER
10080,MERKWAN
10081,MERKLEIN
10082,MERKEY
10083,MERINGOLO
10084,MERINE
10085,MERGIST
10086,MERGANTHALER
10087,MERCKLING
10088,MENZER
10089,MENSALVAS
10090,MENNECKE
10091,MENNE
10092,MENJIVA
10093,MENGWASSER
10094,MENGER
10095,MENEDEZ
10096,MENEAL
10097,MENCK
10098,MENCIA
10099,MENCHEN
10100,MENCHAVEZ
10101,MELZER
10102,MELVE
10103,MELSO
10104,MELOAN
10105,MELMAN
10106,MELLISON
10107,MELLERSON
10108,MELLENDORF
10109,MELLBERG
10110,MELIKIAN
10111,MELIAN
10112,MELGAARD
10113,MELEO
10114,MELBYE
10115,MELBER
10116,MEJA
10117,MEIXELBERGER
10118,MEITZ
10119,MEITNER
10120,MEISS
10121,MEISCH
10122,MEINEN
10123,MEINBERG
10124,MEIGEL
10125,MEIERHOFER
10126,MEHRINGER
10127,MEHRER
10128,MEHLE
10129,MEHALL
10130,MEGAHAN
10131,MEGA
10132,MEFFERD
10133,MEENAN
10134,MEECHAM
10135,MEDVEC
10136,MEDINGER
10137,MEDDOCK
10138,MEDAWAR
10139,MEDARIES
10140,MECIAS
10141,MECANNIC
10142,MEAZELL
10143,MEASOM
10144,MEADEN
10145,MEACH
10146,MCWHINNIE
10147,MCWHINNEY
10148,MCWELLS
10149,MCVINNEY
10150,MCVENES
10151,MCTHIGE
10152,MCTHAY
10153,MCSHAW
10154,MCROYAL
10155,MCRENOLDS
10156,MCRATT
10157,MCQUILLIAMS
10158,MCQUESTEN
10159,MCPHETRIDGE
10160,MCONNELL
10161,MCNOLTY
10162,MCNEISH
10163,MCNANY
