# ---------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Ranger Followers
# Input by Dawn M. Burge
# Source: The Complete Ranger's Handbook by Rick Swan, copywrite 1993 TSR, Inc.
# Tables 33-43
# There is no intent to infringe on any copywrite.
#
# Modified by Valminder, Feb 2006.
#    Adapted for TSv5.
#

%Region%,0
%Gender%,0
%H%,
%Cha%,
%Dc%,

@Region,4,Select Region,Arctic,Aquatic,Desert,Forest,Hill,Jungle,Mountain,Plains,Swamp,Underdark
@Cha,10,Ranger's Charisma?
@Gender,1,Select Gender (only applies in the Forest region),Male,Female

:Start
1,{Status~Ranger Followers}<p class="mar0">After 10th level a ranger starts to gather followers. They do not appear all at once, but over the ranger's lifetime.</p>
_<p class="mar0b">The ranger's followers will be:
_<ul style="margin:0 20px;">|H=[Hench=%Cha%]||Dc={Dice~2d6}|
_{If~%H%>%Dc%?{Loop~%Dc%,<li />{Cap~[Region=%Region%]}}/{Loop~%H%,<li />{Cap~[Region=%Region%]}}}</ul></p>
_<p class="mar0">There may be more followers than the ranger's charisma will permit.</p>

:Hench
1,0
2,1
3,1
4,1
5,2
6,2
7,3
8,3
9,4
10,4
11,4
12,5
13,5
14,6
15,7
16,8
17,10
18,15
19,20
20,25
21,30
22,35
23,40
24,45
25,50

:Region
1,[Arctic]
2,[Aquatic]
3,[Desert]
4,[Forest]
5,[Hill]
6,[Jungle]
7,[Mountain]
8,[Plains]
9,[Swamp]
10,[Underdark]

:Arctic
1-7,[Arctic1] who can learn {Dice~2d4} tricks or tasks with low trainability
8-15,[Arctic8] who can learn {Dice~2d4} tricks or tasks with low trainability
16-25,polar bear who can learn {Dice~2d4+2} tricks or tasks with medium trainability
26,[Arctic26] Elephant who can learn {Dice~2d4+2} tricks or tasks with medium trainability<li>{Cap~[Arctic]}
27,elephant, oliphant who can learn {Dice~2d4+4} tricks or tasks with high trainability	
28-30,snow leopard who can learn {Dice~2d4+2} tricks or tasks with medium trainability
31-32,giant lynx who can learn {Dice~2d4+4} tricks or tasks with high trainability<li>{Cap~[Arctic]}
33-34,smilodon who can learn {Dice~2d4+2} tricks or tasks with medium trainability<li>{Cap~[Arctic]}
35-37,[Dog] dog who can learn {Dice~2d4+2} tricks or tasks with medium trainability
38-43,[Arctic38] who can learn {Dice~2d4} tricks or tasks with low trainability
44-45,remorhaz who can learn {Dice~2d4} tricks or tasks with low trainability<li>{Cap~[Arctic]}
46-49,seal who can learn {Dice~2d4+2} tricks or tasks with medium trainability
50-52,selkie
53-54,ice Toad who can learn {Dice~2d4+4} tricks or tasks with high trainability<li>{Cap~[Arctic]}
55-56,walrus who can learn {Dice~2d4+2} tricks or tasks with medium trainability
57-62,[Arctic57] wolf who can learn {Dice~2d4+2} tricks or tasks with medium trainability
63-66,[NG] wolverine who can learn {Dice~2d4+2} tricks or tasks with medium trainability
67-70,yeti
71-100,{Ordinal~{Dice~1d4}} level [HumanDemihuman]

:Arctic1
1,caribou
2,reindeer
3,musk-ox

:Arctic8
1,penguin
2,tern
3,snowy owl

:Arctic26
1,mammoth
2,mastodon

:Arctic38
1,ermine
2,snow hare

:Arctic57
1,common
2,dire

:Aquatic
1-12,[Aquatic1] who can learn {Dice~2d4} tricks or tasks with low trainability
