# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Written by Penn Davies, from the RMSS Treasure Companion
#
# Verified by Valminder, Jan 2004.

:Start
1,[magical1]

:magical1
1-10,[armour11]
11-20,[daily11]
21-30,[potions11]
31-40,[runes11]
41-50,[weapons11]
51-55,[armour21]
56-59,[charged11]
60-63,[daily21]
64-67,[general11]
68-71,[potions21]
72-75,[runes21]
76-80,[weapons21]
81-82,[armour31]
83-84,[charged21]
85-86,[daily31]
87-88,[general21]
89-90,[potions31]
91-92,[runes31]
93-95,[weapons31]
96-100,[magical2]

:magical2
1-13,[armour41]
14-27,[charged31]
28-41,[daily41]
42-55,[general31]
56-69,[potions41]
70-83,[runes41]
84-97,[weapons41]
98-102,[magical3] 

:magical3
1-17,[armour51]
18-37,[charged41]
38-57,[daily51]
58-77,[general41]
78-97,[weapons51]
98-102,[magical4]

:magical4
1-13,[armour61]
14-27,[charged51]
26-41,[daily61]
42-55,[general51]
56-69,[potions51]
70-83,[runes51]
84-97,[weapons61]

:armour11
1-12,+5 [metalarmour]
13-24,+5 [leatherarmour]
25-36,+5 Leather [shield]
37-48,+5 Metal [shield]
49-60,+5 Wooden [shield]
61-68,+5/+10 vs group [metalarmour]
69-76,+5/+10 vs group [leatherarmour]
77-84,+5/+10 vs group Leather [shield]
85-92,+5/+10 vs group Metal [shield]
93-100,+5/+10 vs group Wooden [shield]

:shield
1,Target Shield
2,Normal Shield
3,Full Shield
4,Wall Shield

:leatherarmour
1-12,AT 5
13-24,AT 6
25-36,AT 7
37-48,AT 8
49-60,AT 9
61-72,AT 10
73-78,Leather Arm Greaves
79-84,Leather Leg Greaves
85-90,Leather Bracers
91-94,Leather Barding
95-97,Leather Chamfron
98-100,Leather Crinet

:metalarmour
1-16,AT 13
17-26,AT 14
27-32,AT 15
33-36,AT 16
37-52,AT 17
53-62,AT 18
63-68,AT 19
69-72,AT 20
73-78,Metal Arm Greaves
79-84,Metal Leg Greaves
85-90,Metal Bracers
91-92,Chain Barding
93-94,Chain Crinet
95-96,Plate Barding
97-98,Plate Chamfron
99-100,Plate Crinet

:armour21
1-12,+10 [metalarmour]
13-24,+10 [leatherarmour]
25-36,+10 Leather [shield]
37-48,+10 Wooden [shield]
49-60,+10 Metal [shield]
61-63,Rhino Armour, pg 102
64-65,+10/+15 vs group [metalarmour]
66-68,+10/+15 vs group [leatherarmour]
69-71,+10/+15 vs group Leather [shield]
72-74,+10/+15 vs group Wooden [shield]
75-76,+10/+15 vs group Metal [shield]
77-78,+10 [metalarmour] with [aability2]
79-81,+10 [leatherarmour] with [aability2]
82-84,+10 Leather [shield] with [aability2]
85-87,+10 Wooden [shield] with [aability2]
88-89,+10 Metal [shield] with [aability2]
90-91,Shield of Arn, pg 102
92-93,Vanishing Shield, pg 102
94-95,Shield of the Green Woods, pg 102
96-100,[armour22]

:aability2
1-34,Minor Critical Negation
35-67,Minor Decreased Maneuver Penalty
68-100,Minor Increased AT

:armour22
1-5,+10/+15 vs group [metalarmour] with [aability2]
6-14,+10/+15 vs group [leatherarmour] with [aability2]
15-23,+10/+15 vs group Leather [shield] with [aability2]
24-31,+10/+15 vs group Metal [shield] with [aability2]
32-39,+10/+15 vs group Wooden [shield] with [aability2]
40-47,+10 [metalarmour] with [aability2] and [aability2]
48-56,+10 [leatherarmour] with [aability2] and [aability2]
57-65,+10 Leather [shield] with [aability2] and [aability2]
66-73,+10 Metal [shield] with [aability2] and [aability2]
74-81,+10 Wooden [shield] with [aability2] and [aability2]
82-89,Elven Splinted Leather, pg 102
90-100,Shield of Camouflage, pg 102

:armour31
1-10,Belt of Balance, pg 102
11-20,+15 [leatherarmour]
21-30,+15 [metalarmour]
31-40,+15 Leather [shield]
41-50,+15 Metal [shield]
51-60,+15 Wooden [shield]
61-62,Elven Chain, pg 102
63-64,Rune Shield, pg 102
65-66,+15/+20 vs group [leatherarmour] 
67-68,+15/+20 vs group [metalarmour]
69-70,+15/+20 vs group Leather [shield]
71-72,+15/+20 vs group Metal [shield]
73-74,+15/+20 vs group Wooden [shield]
75-76,+15 [leatherarmour] with [aability3]
77-78,+15 [metalarmour] with [aability3]
79-80,+15 Leather [shield] with [aability3]
81-82,+15 Metal [shield] with [aability3]
83-84,+15 Wooden [shield] with [aability3]
85-86,Darkling Leather, pg 102
87-88,Leather of Slickness, pg 102
89-90,Channelling Shield, pg 102
91-92,Breastplate of Channelling, pg 102
93,Dragonskin Armour (AT 12), pg 102
94,Dragonskin Armour (AT 11), pg 102
95,Dragonskin Armour (AT 3), pg 102
96-100,[armour32]

:aability3
1,Normal Critical Reduction
2,Normal Critical Negation
3,Normal Decreased Maneuver Penalty
4,Normal Increased AT

:armour32
1-5,Robe of Protection, pg 102
6-13,Shield Rod, pg 102
14-21,Red Shield of Diif-Marash, pg 102
22-29,+15/+20 vs group [leatherarmour] with [aability3]
30-36,+15/+20 vs group [metalarmour] with [aability3]
37-44,+15/+20 vs group Leather [shield] with [aability3]
45-51,+15/+20 vs group Metal [shield] with [aability3]
52-59,+15/+20 vs group Wooden [shield] with [aability3]
60-67,+15 [leatherarmour] with [aability3] and [aability3]
68-74,+15 [metalarmour] with [aability3] and [aability3]
75-82,+15 Leather [shield] with [aability3] and [aability3]
83-89,+15 Metal [shield] with [aability3] and [aability3]
90-97,+15 Wooden [shield] with [aability3] and [aability3]
98-102,Plate Mail of Resistance, pg 102

:armour41
1-12,+20 [leatherarmour]
13-24,+20 [metalarmour]
25-36,+20 Leather [shield]
37-48,+20 Metal [shield]
49-60,+20 Wooden [shield]
61-62,Arm Greaves of Power, pg 102
63-65,Portal Shield, pg 102
66-68,Dragonskin Armour (AT 19), pg 102
69-71,Dragonskin Armour (AT 20), pg 102
72-73,Shield of Flows, pg 102
74-75,Collar of Unpain, pg 102
76-77,+20/+25 vs group [leatherarmour]
78-79,+20/+25 vs group [metalarmour]
80-81,+20/+25 vs group Leather [shield]
82-83,+20/+25 vs group Metal [shield]
84-85,+20/+25 vs group Wooden [shield]
86-87,+20 [leatherarmour] with [aability4]
88-89,+20 [metalarmour] with [aability4]
90-91,+20 Leather [shield] with [aability4]
92-93,+20 Metal [shield] with [aability4]
94-95,+20 Wooden [shield] with [aability4]
96-100,[armour42]

:aability4
1,Greater Critical Reduction
2,Greater Critical Negation
3,Greater Decreased Maneuverability Penalty
4,Greater Increased AT

:armour42
1-8,Red Armour, pg 102
9-17,+20/+25 vs group [leatherarmour] with [aability4]
18-26,+20/+25 vs group [metalarmour] with [aability4]
27-35,+20/+25 vs group Leather [shield] with [aability4]
36-44,+20/+25 vs group Metal [shield] with [aability4]
45-53,+20/+25 vs group Wooden [shield] with [aability4]
54-62,+20 [leatherarmour] with [aability4] and [aability4]
63-71,+20 [metalarmour] with [aability4] and [aability4]
72-80,+20 Leather [shield] with [aability4] and [aability4]
81-89,+20 Metal [shield] with [aability4] and [aability4]
90-97,+20 Wooden [shield] with [aability4] and [aability4]
98-102,Breastplate of Thonian, pg 102

:armour51
1-19,Paladin Shield, pg 103
20,Armour of the Rangers, pg 103

:armour61
1-3,Helm of Uncleaving, pg 103
4-5,Crushing Shield, pg 103

:daily11
1,Charged Item, 1st level spell, [Spell Lists.Start] (1 charge)
2,Charged Item, 2nd level spell, [Spell Lists.Start] (1 charge)

:daily21
1-19,Daily I, [Spell Lists.Start]
20-38,Pot of War Smoke, pg 103
39-57,Daily III, [Spell Lists.Start] (1st level, 3/day)
58-76,Daily III, [Spell Lists.Start] (2nd level, 1/day)
77-95,Daily III, [Spell Lists.Start] (3rd level, 1/day)
96-100,[daily22]

:daily22
1-67,Access Book, pg 103
68-102,Helm of Sense Mastery, pg 103

:daily31
1-10,Bell of Awe-Inspiring, pg 103
11-29,Daily V, [Spell Lists.Start] (1st level, 5/day)
30-48,Daily V, [Spell Lists.Start] (2nd level, 2/day)
49-67,Daily V, [Spell Lists.Start] (4th level, 1/day)
68-85,Daily V, [Spell Lists.Start] (5th level, 1/day)
86-95,Shoola, pg 103
96-100,[daily32]

:daily32
1-97,Janih's Belt of Movement, pg 103
98-102,[daily33]

:daily33
1-97,Glove of Unbarring Ways, pg 103
98-102,Gauntlets of Healing, pg 103

:daily41
1-2,Medallion of Heavy Metal, pg 103
3-5,Veils of Tanu, pg 103
6-8,Daily X, [Spell Lists.Start] (1st level, 10/day)
9-11,Daily X, [Spell Lists.Start] (2nd level, 5/day)
12-14,Daily X, [Spell Lists.Start] (3rd level, 3/day)
15-17,Daily X, [Spell Lists.Start] (4th level, 2/day)
18-20,Daily X, [Spell Lists.Start] (5th level, 2/day)
21-23,Daily X, [Spell Lists.Start] (6th level, 1/day)
