# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Ship's Crew generator
#
# Verified by Valminder, Jan 2004.
#

:Start
1,<b>Name:</b> [Name] <i>([sex])</i><br><b>Position:</b> [job]<br><b>Profession:</b> [Profs.Start]<br><b>Personality:</b> {Loop~{Dice~1d3},[Traits]}[Perks.Start][TP.Start]

:Name
1-3,[Formal Names.Start]
4-6,[Fantasy Names.Start] [Fantasy Names.Start]
7-9,[Names Generator.NAME Random]
10,[Names Generator.NAME Random] of [Ven]
11-13,[Elven Names.Start]
14-16,[Names Generator.NAME Random] of [Town Names.Generate]
17-20,[Names Generator.NAME Random]

:sex
1-10,Female
11-100,Male

:job
1-15,Able-Bodied Seaman <b>Skill:</b> {Dice~3d6+60}
16-65,Ordinary Seaman <b>Skill:</b> {Dice~3d6+45}
66-75,Deckboy <b>Skill:</b> {Dice~3d6+25}
76-85,Unguilded Seaman <b>Skill:</b> {Calc~({Dice~3d6}*4)}
86-90,Pilot <b>Skill:</b> {Dice~3d6+65}
91,Pilot's Apprentice <b>Skill:</b> {Calc~({Dice~3d6}*4)}
92-94,Chippy <b>Skill:</b> {Dice~3d6+60}
95,Chippy's Mate <b>Skill:</b> {Dice~3d6+30}
96-100,[Other]

:Other
1-4,Supercargo <b>Skill:</b> {Dice~3d6+60}
5-8,Ship's Physician <b>Skill:</b> {Dice~3d6+60}
9,Marine Commander <b>Skill:</b> {Dice~3d6+60}
10,Marine Lieutenant <b>Skill:</b> {Dice~3d6+45}
11-12,Ordinary Marine <b>Skill:</b> {Dice~3d6+30}


:Ven
1,{Cap~[Rdm]}[Con][Vowel][Con]
2,{Cap~[Vowel]}[Con][Con][Vowel][Con][Vowel][Con]
3,{Cap~[Rdm]}[Con][Vowel][Con]
4,{Cap~[Vowel]}[Con][Con][Vowel][Con][Vowel][Con]
5,{Cap~[Rdm]}'[Con][Vowel][Con]
6,{Cap~[Vowel]}[Con]'[Con][Vowel][Con][Vowel][Con]
