# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# RUIN GENERATOR based on the RMSS RuinGenerator from "Castle & Ruins"
#
# 1998 Robert Rydlo
#
# Verified by Valminder, Jan 2004.

:Start
1,<font size="+2"> <b>[Condition]</b> {Cap~[Building]}</b>

:Condition
1-10,Razed
11-30,Wrecked
31-65,Rotting/Old
66,Normal
67-95,Rotting/Old
96-100, Old/Normal

:CurS
1,no remains
2-10,little remains
11-20,a tottering structure
21-30,roamed by wild animals
31-40, being Rebuild
41-50,Peasants setteling
51-60,infested with monster
61-65,inhabited by an uncommon race
66,untouched by time
67-75,used by bandits
76-85,cursed
86-95,haunted
96-99,Submerged
100,home of an avatar


:Building
1-5,[Known] <b>Peasant House</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Items:</b><br>[PHItems]
6-10,[Known] <b>Farming Village</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Items:</b><br>[FVItems]
11-15,[Known] <b>Wooden Fort</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[TerOf]}<br><b>Items:</b><br>[WFItems]<br><b>Magic Items:</b><br>[WFMagic]
16-20,[Known] <b>Manor/Mansion</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[TerOf]} and {AorAn~[Def]}<br><b>Items:</b><br>[MaItems]<br><b>Magic Items:</b><br>[MaMagic]
21-25,[Known] <b>Watch/Signal Tower</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[TerOf]}<br><b>Items:</b><br>[WSItems]<br><b>Magic Items:</b><br>[WSMagic]
26-30,[Known] <b>Outpost</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[TerOf]}<br><b>Items:</b><br>[OpItems]<br><b>Magic Items:</b><br>[OpMagic]
31-35,[Known] <b>Monument</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[Off]}<br><b>Magic Items:</b><br>[MoMagic]
36-40,[Known] <b>Shrine</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b> {AorAn~[Off]}<br><b>Items:</b><br>[ShItems]<br><b>Magic Items:</b><br>[ShMagic]
41-50,[Known] <b>Temple</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]}, {AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[TeItems]<br><b>Magic Items:</b><br>[TeMagic]
51-55,[Known] <b>Small Castle</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]} and {AorAn~[Def]}<br><b>Items:</b><br>[SCItems]<br><b>Magic Items:</b><br>[SCMagic]
56-65,[Known] <b>Tomb</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]}, {AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[ToItems]<br><b>Magic Items:</b><br>[ToMagic]
66,[Known] <b>Enchanted Castle</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]}, {AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[ECItems]<br><b>Magic Items:</b><br>[ECMagic]
67-75,[Known] <b>Underground Fortress</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]}, {AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[UFItems]<br><b>Magic Items:</b><br>[UFMagic]
76-85,[Known] <b>Large Castle</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[TerOf]}, {AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[LCItems]<br><b>Magic Items:</b><br>[LCMagic]
86-90,[Known] <b>City </b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[CityItems]<br><b>Magic Items:</b><br>[CityMagic]
91-95,[Known] <b>Library/Museum/Arcanus</b></font><br><b>Style: </b>[St]<br><b>Status:</B> [CurS]<br><b>Protection: </b>{AorAn~[Def]} and {AorAn~[Off]}<br><b>Items:</b><br>[LibItems]<br><b>Magic Items:</b><br>[LibMagic]

:PHItems
1,<li>[It1]</li>

:FVItems
1,<li>[It1]</li>

:WFItems
1,<li>[It1]<br><li>[It2]<br><li>[It3]</li>
:WFMagic
1,<li>[Ma1]</li>


:MaItems
1,<li>[It1]<br><li>[It2]<br><li>[It3]<br><li>[It4]</li>
:MaMagic
1,<li>[Ma1]<br><li>[Ma2]</li>

:WSItems
1,<li>[It1]<br><li>[It2]<br><li>[It3]</li>
:WSMagic
1,<li>[Ma1]</li>

:OpItems
1,<li>[It1]<br><li>[It2]<br><li>[It3]</li>
:OpMagic
1,<li>[Ma1]</li>

:MoMagic
1,<li>[Ma1]<br><li>[Ma2]<br><li>[Ma3]</li>

:ShItems
1,<li>[It4]</li>
:ShMagic
