# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Written by Penn Davies, from the RMSS Treasure Companion
#
# Verified by Valminder, Jan 2004.

:Start
1,<b><u>Item Table</u></b><br><br><b>Very Poor:</b> [verypoor]<br><br><b>Poor:</b> [poor]<br><br><b>Normal:</b> [normal]<br><br><b>Rich:</b> [rich]<br><br><b>Very Rich:</b> [veryrich]<br>

:verypoor
1-20,No items.
21-40,No items.
41-55,No items.
56-70,No items.
71-80,No items.
81-90,One item: <br>[vpitem]
91-94,One item: <br>[vpitem]
95-97,Two items: <br>[vpitem], and <br>[vpitem]
98-99,Three items: <br>[vpitem], and <br>[vpitem], and <br>[vpitem]
100,Four items: <br>[vpitem], and <br>[vpitem], and <br>[vpitem], and <br>[vpitem]

:poor
1-20,No items.
21-40,No items.
41-55,No items.
56-70,One item: <br>[pitem]
71-80,One item: <br>[pitem]
81-90,One item: <br>[pitem]
91-94,Two items: <br>[pitem], and <br>[pitem]
95-97,Three items: <br>[pitem], and <br>[pitem], and <br>[pitem]
98-99,Four items: <br>[pitem], and <br>[pitem], and <br>[pitem], and <br>[pitem]
100,Five items: <br>[pitem], and <br>[pitem], and <br>[pitem], and <br>[pitem], and <br>[pitem]

:normal
1-20,No items.
21-40,No items.
41-55,One item: <br>[nitem]
56-70,One item: <br>[nitem]
71-80,Two items: <br>[nitem], and <br>[nitem]
81-90,Two items: <br>[nitem], and <br>[nitem]
91-94,Three items: <br>[nitem], and <br>[nitem], and <br>[nitem]
95-97,Four items: <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem]
98-99,Five items: <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem]
100,Six items: <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem], and <br>[nitem]

:rich
1-20,No items.
21-40,One item: <br>[ritem]
41-55,Two items: <br>[ritem], and <br>[ritem]
56-70,Two items: <br>[ritem], and <br>[ritem]
71-80,Two items: <br>[ritem], and <br>[ritem]
81-90,Three items: <br>[ritem], and <br>[ritem], and <br>[ritem]
91-94,Three items: <br>[ritem], and <br>[ritem], and <br>[ritem]
95-97,Four items: <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem]
98-99,Six items: <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem]
100,Eight items: <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem], and <br>[ritem]

:veryrich
1-20,No items
21-40,One item: <br>[vritem]
41-55,Two items: <br>[vritem], and <br>[vritem]
56-70,Three items: <br>[vritem], and <br>[vritem], and <br>[vritem]
71-80,Four items: <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem]
81-90,Five items: <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem]
91-94,Six items: <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem]
95-97,Seven items: <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem]
98-99,Eight items: <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem], and <br>[vritem]
