# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Written by Penn Davies, from the RMSS Treasure Companion
#
# Verified by Valminder, Jan 2004.

:Start
1,<b>Wealth Table</b><br><br>Very Poor: [verypoor]<br><br>Poor: [poor]<br><br>Normal: [normal]<br><br>Rich: [rich]<br><br>Very Rich: [veryrich]<br>


:verypoor
1-10,5 ip
11-20,5 tp
21-30,1 cp
31-35,5 cp
36-40,2 bp
41-45,5 bp
46-50,1 sp
51-55,15 bp
56-60,2 sp
61-65,25 bp
66-70,3 sp
71-75,35 bp
76-80,4 sp
81-85,45 bp
86-90,5 sp
91-94,5 sp value [spg]
95-97,6 sp value [spg]
98-99,7 sp value [vpjewellry]
100,1 gp value [vpjewellry]

:poor
1-10,10 ip
11-20,10 tp
21-30,2 cp
31-35,1 bp
36-40,35 cp
41-45,75 cp
46-50,15 bp
51-55,25 bp
56-60,35 bp
61-65,45 bp
66-70,5 sp
71-75,55 bp
76-80,6 sp
81-85,65 bp
86-90,75 bp
91-94,75 bp value [spg]
95-97,9 sp value [spg]
98-99,12 sp value [pjewellry]
100,15 sp value [pjewellry] 

:normal
1-10,2 tp
11-20,20 tp
21-30,4 cp
31-35,2 bp
36-40,7 bp
41-45,15 bp
46-50,3 sp
51-55,5 sp value [spg]
56-60,7 sp value [spg]
61-65,9 sp
66-70,1 gp
71-75,11 sp
76-80,12 sp
81-85,13 sp
86-90,15 sp
91-94,15 sp value [spg]
95-97,18 sp value [spg]
98-99,24 sp value [jewellry]
100,30 sp value [jewellry]

:rich
1-10,30 cp
11-20,60 cp
21-30,120 cp
31-35,24 bp
36-40,48 bp
41-45,98 bp
46-50,1 gp value [spg]
51-55,15 sp value [spg]
56-60,20 sp
61-65,30 sp
66-70,40 sp
71-75,15 gp
76-80,25 gp
81-85,35 gp
86-90,45 gp
91-94,50 gp value [pg]
95-97,100 gp value [pg]
98-99,20 pp
100,300 gp value [rjewellry]

:veryrich
1-10,50 cp
11-20,200 cp
21-30,400 cp
31-35,150 bp
36-40,300 bp
41-45,150 sp
46-50,300 sp
51-55,60 gp
56-60,80 gp
61-65,100 gp value [spg]
66-70,125 gp
71-75,150 gp
76-80,25 pp
81-85,300 gp value [pg]
86-90,500 gp value [pg]
91-94,700 gp value [vrjewellry]
95-97,1000 gp value [vrjewellry]
98-99,2500 gp value [vrjewellry]
100,5000 gp value [vrjewellry]

:pg
1-2,Alexandrite
3-4,Almandine
5-6,Amber
7-8,Amethyst
9-10,Andalusite
11-12,Green Andradite
13-14,Red Andradite
15-16,Yellow Green Andradite
17-18,Aquamarine
19-20,Pink Aragonite
21-22,White Aragonite
23-24,Yellow Aragonite
25-26,Brazilianite
27-28,Californite
29-30,Carnelian
31-32,Catholong
33-34,Ceylonite
35-36,Chlorospinel
37-38,Brown Chrysoberyl
39-40,Golden-yellow Chrysoberyl
41-42,Olive-green Chrysoberyl
43-44,Yellow-brown Chrysoberyl
45-46,Yellow-green Chrysoberyl
47-48,Brown Chrysoberyl
49-50,Green Chrysoberyl
51-52,White Chrysoberyl
53-54,Chrysophrase
55-56,Citrine
57-58,Red Coral
59-60,Brown Cymophane
61-62,Green Cymophane
63-64,Yellow Cymophane
65-66,Black Diamond
67,Blue Diamond
68-69,Brown Diamond
70,Colorless Diamond
71-72,Green Diamond
73-74,Gray Diamond
75-76,Red Diamond
77-78,Yellow Diamond
79-80,Dravite
81-82,Emerald Green Albaite
83-84,Pale Green Albaite
85-86,Emerald
87-88,Goshenite
89-90,Heliodor
91-92,Heliotrope
93-94,Hyalite
95-96,Jadeite
97-98,Green Jasper
99-100,Red Jasper
101-102,Jet
103-104,Kornerupine
105-106,Green Kyanite
107-108,Light Blue Kyanite
109-110,Nephrite
111-112,Black Opal
113-114,Fire Opal
115-116,Harlequin Opal
117-118,White Opal
119-120,Padparadscha
121-122,Black Pearl
123-124,Blue Pearl
125-126,Bronze Pearl
127-128,Gray Pearl
129-130,Pink Pearl
131-132,White Pearl
133-134,Yellow Pearl
135-136,Plasma
137-138,Prasopal
139-140,Blood-red Pyrope
141-142,Orange-red Pyrope
143-144,Purple Pyrope
145,Ruby
146,Blue Sapphire
147-148,Brown Sapphire
149-150,Green Sapphire
151-152,Violet Sapphire
153-154,Yellow Sapphire
155-156,Sard
157-158,Schorl
159-160,Red Spessarite
161-162,Blue Spinel
163-164,Blue-green Spinel
165-166,Green Spinel
167-168,Red Spinel
169-170,Violet Spinel
171-172,Green Spudomene
173-174,Titanite
175-177,Blue Topaz
177-178,Colorless Topaz
179-180,Greenish Topaz
181-182,Gray Topaz
183-184,Honey-yellow Topaz
185-186,Pink Topaz
187-188,Purple Topaz
189-190,Reddish Topaz
191-192,Sherry Topaz
193-194,Wine Yellow Topaz
195-196,Tsiliasite
197-198,Uvarovite
199-100,Vorobevite

:spg
1,[spg1]
2,[spg2]
3,[spg3]
4,[spg4]

:spg1
1-2,Adventurine
3-5,Agalmatoline
6-8,Agate
9-11,Brown Alabaster
12-14,Pink Alabaster
15-17,White Alabaster
18-20,Amazonite
21-23,Black Andradite
24-26,Brown Andradite
27-28,Red Brown Andradite
29-31,Blue Apatite
32-34,Brown Apatite
35-37,Green Apatite
38-40,Grey Apatite
41-43,Violet Apatite
44-46,White Apatite
47-49,Yellow Apatite
50-52,Blue Axinite
53-55,Brown Axinite
56-58,Honey-yellow Axinite
59-61,Plum-purple Axinite
