# ---------------------------------------------------
# Last Update: modified by Valminder August 24, 2006.
# ---------------------------------------------------
#
# This table is a ~Reference table for all "EQ" tables
# like "EQ Armory.tab" and "EQ Bardic Items.tab".
# It regroups all the tables that are often called by those tables.
#
# By Sean Hlousek and Valminder 2006.
#
# -------------------------------------------------------------------------
#
# This table is to be used with the Split~function.
#
# -------------------------------------------------------------------------
#
# Modified by Valminder, August  2006.
#    Added subtables from all EQ tables.
#

%Temp%,0

# This is not done yet and could be done in the future
#
# Books
# A&A = Arms & Armor (Bastion Press)
# A&E = Arms and Equipment Guide (WotC)
# BOR = ???
# BVD = Book of Vile Darkness (WotC)
# CDiv = Complete Divine (WotC)
# DMG3.5 = Diungeon Master's Guide 3.5E (WotC)
# DOF = Defenders of the Faith (WotC) 
# ITG = ???
# KOK = ???
# MOF = Magic of Faerun (WotC)
# MOW = Masters of the Wild (WotC)
# PHB3.0 = Player's Handbook 3E (WotC)
# PHB3.5 = Player's Handbook 3.5E  (WotC)
# RR1 = Relics and Rituals 1
# RR2 = Relics and Rituals 2 
# S&F = Sword & Fist (WotC)
# S&S = Song and Silence (WotC)
# SP&SC = ???
# SHH = ???
# T&B = Tome and Blood (WotC)
# TA = ???
# UEG = Ultimate Equipment Guide 
# WBG = ???
#
# If you own the book, set the value at 1.
#

%A&A%,1
%A&E%,1
%BOR%,1
%BVD%,1
%CDiv%,1
%DMG3.5%,1
%DOF%,1
%ITG%,0
%KOK%,1
%MOF%,1
%MOW%,1
%PHB3.0%,1
%PHB3.5%,1
%RR1%,1
%RR2%,1
%S&F%,1
%S&S%,1
%SP&SC%,1
%SHH%,1
%T&B%,1
%TA%,1
%UEG%,1
%WBG%,1

:Start
1,This table is not a stand alone table. It is a ~Reference table for all "EQ" tables like "EQ Armory.tab" and "EQ Bardic Items.tab". It regroups all the tables that are often used.

# -----------------------------------------------------------------------------------
# To determine if you own the appropriate book
#
# This is not used now, but could be in the future.
#

:Books
1,%A&A%!!!%A&E%!!!%BVD%!!!%DMG3.5%!!!%DOF%!!!%MOF%!!!%MOW%!!!%PHB3.5%!!!%RR2%!!!%S&S%!!!%UEG%

# To get this table
#;GetBooks
#1,|GetData=[EQ_Main.GetBooks]|
#_{Split~GetData,"!!!",A&A,A&E,BVD,DMG3.5,DOF,MOF,MOW,PHB3.5,RR2,S&S,UEG}

# -----------------------------------------------------------------------------------
# Miscellaneous Tables

;Hand
4,right hand
4,left hand
2,both hands

# -----------------------------------------------------------------------------------
# Clothing Colors and Other Colors
# The 2 following tables are not called from another one, but put in the appropriate table.

;RobeColors
1,[~Miscellaneous.Color+1]

;RobeColorsMix
3,[~Miscellaneous.Color+1]
6,[~Miscellaneous.Color+1] and [~Miscellaneous.Color+1]
1,[~Miscellaneous.Color+1], [~Miscellaneous.Color+1], and [~Miscellaneous.Color+1]

#-------
;Accents
8,!!!0
2, There is embroidering in a [EmbroideringType] pattern!!!{Dice~1d20/100}
1, |Temp=0|There is a fur, (in [Furs]) accent!!!%Temp%

#;Accents
#1,|GetData=[EQ_Main.Accents]|
#_{Split~GetData,"!!!",DataName,DataPercentMod}
#_|PercentGPMod+%DataPercentMod%|
#_%DataName%

#------------------
;ColdWeatherAccents
1,!!!0
1, |Temp=0|This outfit includes extensive use of [Furs] fur!!!%Temp%

#;ColdWeatherAccents
#1,|GetData=[EQ_Main.ColdWeatherAccents]|
