# ------------------------------------------------------
# Last Update: modified by Valminder Feb 03, 2015.
# ------------------------------------------------------
#
# MC Treasure Generator (from Magic Compendium)
#
# 1,NAME!Source!Weight!Value
#
# MC Items
#
# When adding spells for scrolls/wands:
#    search for "Spells level X"
#    Scroll: 0-9 Cl x spell level x 25 gp
#    Wand:   0-3 CL x spell level x 750 gp (x150 for 10 charges)
#
# Half - 1-50 gp (or mundane items)    14 - max 18,000 gp   +7000
# 1    - 80-180                        15 - max 25,000 gp   +10000
# 2    - 175-400                       16 - max 35,000 gp   +13000
# 3    - max 800     +450              17 - max 48,000 gp   +16000
# 4    - max 1250    +550              18 - max 64,000 gp   +16000
# 5    - max 1800    +500              19 - max 80,000 gp   +20000
# 6    - max 2300    +700              20 - max 100,000 gp  +20000
# 7    - max 3000    +1000             21 - max 120,000 gp  +17500
# 8    - max 4000    +1000             22 - max 137,500 gp  +22500
# 9    - max 5000    +1500             23 - max 160,000 gp  +20000
# 10   - max 6500    +1500             24 - max 180,000 gp  +31000
# 11   - max 8000    +2000             25 - max 211,000 gp  +39000
# 12   - max 10,000  +3000
# 13   - max 13,000  +5000            
#
# EPIC: Treasure Value per ENC         26- max 250,000 gp    +40000
# 21  87,000 gp   31  227,000 gp       27- max 290,000 gp    +45000
# 22  96,000 gp   32  249,000 gp       28- max 335,000 gp    +45000
# 23  106,000 gp  33  274,000 gp       29- max 380,000 gp    +60000
# 24  116,000 gp  34  302,000 gp       30- max 440,000 gp    +60000
# 25  128,000 gp  35  332,000 gp       31- max 500,000 gp    +70000
# 26  141,000 gp  36  365,000 gp       32- max 570,000 gp    +80000
# 27  155,000 gp  37  401,000 gp       33- max 650,000 gp    +90000
# 28  170,000 gp  38  442,000 gp       34- max 740,000 gp    +100000
# 29  187,000 gp  39  486,000 gp       35- max 840,000 gp    +110000
# 30  206,000 gp  40  534,000 gp       36- max 950,000 gp    +120000
#                                      37- max 1,070,000 gp  +130000
#                                      38- max 1,200,000 gp  +140000
#                                      39- max 1,340,000 gp  +150000
#                                      40- max 1,490,000 gp  +160000
#                                      41- max 1,650,000 gp  +170000
#                                      42- max 1,820,000 gp  +180000
#                                      43- max 2,000,000 gp  +190000
#                                      44- max 2,190,000 gp  +200000
#                                      45- max 2,290,000 gp  +210000
#                                      46- max 2,500,000 gp  +220000
#                                      47- max 2,720,000 gp  +230000
#                                      48- max 2,950,000 gp  +240000
#                                      49- max 3,190,000 gp  +250000
#                                      50- max 3,440,000 gp  +260000
#                                      51- max 3,700,000 gp  +270000
#                                      52- max 3,970,000 gp  +280000
#                                      53- max 4,250,000 gp  +290000
#                                      54- max 4,540,000 gp  +300000
#                                      55- max 4,840,000 gp  
#
# Modified by Valminder, Jan 2014
#    Added above table for the value of the magical items.
#    Modified all tables to include EternalWands/Oils/Potions/Scrolls/Wands subtables
#       You can easily add spells from other books to these subtables.
# Modified by Valminder, Feb 2015
#    Added Informations for EPIC Values up to CR40 and level 55 for Items.
#    Added Golems/Shield Guardian from MM1
# Modified by Valminder, Jan 2017
#    Added Parameter: Version
#

%level%,0
%target%,0
%Version%,0

%temp%,0

%name%,0
%source%,0
%weight%,0
%value%,0

@level,1,Enter level,H (1-50 gp),1 (51-150 gp),2 (151-400 gp),3 (401-800 gp),4 (801-1300 gp),5 (1301-1800 gp),6 (1801-2300 gp),7 (2301-3000 gp),8 (3001-4000 gp),9 (4001-5000 gp),10 (5001-6500 gp),11 (6501-8000 gp),12 (8001-10000 gp),13 (10001-13000 gp),14 (13001-18000 gp),15 (18001-25000 gp),16 (25001-35000 gp),17 (35001-48000 gp),18 (48001-64000 gp),19 (64001-80000 gp),20 (80001-100000 gp),21 (100001-120000 gp),22 (120001-140000 gp),23 (140001-160000 gp),24 (160001-180000 gp),25 (180001-200000 gp)
@target,1,Human-readable or for another table?,Human,Table
@Version,1,What version of d20 do you use?,LOAD from Permanent Variables,3.5,Pathfinder

:Start
1,|level-1|{If~%level%=0?|level=H|}
_|temp=[ItemLevel%level%]|
_[DisplayItem=%target%]

:DisplayItem
1,{Split~temp,"!",name,source,weight,value}
_{Bold~{Cap~%name%}}{CR~}Value: %value% gp{CR~}Weight: %weight% lb.{CR~}Source: %source%
2,%temp%

1,[ItemLevel%level%]

# 1-50 gp (or Mundane Items)
;ItemLevelH
3,oil of [OilsH]
31,potion of [PotionsH]
29,scroll of [ScrollsH]
# 0,wand of [WandsH]
1,acid!P128!1!10
2,lantern, bullseye!P126!3!12
2,alchemist's fire!P128!1!20
3,rope, silk (100 ft.)!P127!10!20
2,smokestick!P128!0.5!20
2,holy symbol, silver!P130!1!25
2,holy water!P128!1!25
2,thunderstone!P129!1!30
2,antitoxin!P128!0!50
2,blessed bandage (5)!M152!0!50
2,disguise kit!P130!8!50
2,healer's kit!P130!1!50
2,quaal's feather token, anchor!D264!0!50
2,skill shard!M185!0!50
2,tanglefoot bag!P128!4!50
4,thieves' tools, masterwork!P130!2!100
2,universal solvent!D268!0!50

;OilsH
3,magic weapon!P251!0!50

;PotionsH
9,cure light wounds!P215!0!50
3,endure elements!P226!0!50
3,enlarge person!P226!0!50
3,mage armor!P249!0!50
3,magic fang!P250!0!50
3,protection from [MC Common.Align]!P266!0!50
2,remove fear!P271!0!50
2,shield of faith +2!P278!0!50
3,lesser vigor!S229!0!50

# Spells level 0
# Spells level 1
;ScrollsH
1,caltrops (arcane)!S42!0!25
1,create water (divine)!P215!0!25
1,dancing lights (arcane)!P216!0!25
1,dawn (divine)!S59!0!25
1,detect magic ([MC Common.Type])!P219!0!25
1,light ([MC Common.Type])!P248!0!25
1,message (arcane)!P253!0!25
1,purify food and drink (divine)!P267!0!25
1,aspect of the wolf (divine)!S16!0!25
1,benign transposition (arcane)!S27!0!25
1,blessed aim (divine)!S31!0!25
1,comprehend languages ([MC Common.Type])!P212!0!25
5,cure light wounds (divine)!P215!0!25
1,disguise self (arcane)!P222!0!25
1,endure elements ([MC Common.Type])!P226!0!25
1,hail of stone (arcane)!S108!0!25
1,mount (arcane)!P256!0!25
1,protection from chaos ([MC Common.Type])!P266!0!25
1,protection from evil ([MC Common.Type])!P266!0!25
1,protection from good ([MC Common.Type])!P266!0!25
1,protection from law ([MC Common.Type])!P266!0!25
1,remove fear ([MC Common.Type])!P271!0!25
1,resurgence (divine)!S174!0!25
1,sanctuary (divine)!P274!0!25
1,sign (divine)!S189!0!25
1,snake's swiftness (divine)!S193!0!25
1,speak with animals (divine)!P281!0!25
1,lesser vigor (divine)!S229!0!25

;WandsH
1,XXX!XXX!0!0

# -----------------------------------------
# 80-180 gp
;ItemLevel1
37,scroll of [Scrolls1]
#0,potion of [Potions1]
2,oil of [Oils1]
39,wand of [Wands1]
1,climber's kit!P130!5!80
3,chain shirt!P124!25!100
1,crystal of illumination, least!M64!0!100
1,sleep arrow!D228!0!132
2,everburning torch!P128!1!110
1,daylight pellet!M156!0!150
1,elixir of love!D255!0!150
1,unguent of timelessness!D268!0!150
1,light wooden shield, masterwork!P125!5!153
1,heavy wooden shield, masterwork!P125!10!157
1,light steel shield, masterwork!P125!6!159
1,buckler, masterwork!P125!5!165
1,leather, masterwork!P125!15!160
1,hide armor, masterwork!P125!25!165
1,heavy steel shield, masterwork!P125!15!170
1,studded leather, masterwork!P126!20!175
1,chainmail!P124!40!150
1,tower shield, masterwork!P125!45!180

;Oils1
2,bless weapon!P205!0!100

;Potions1
1,XXX!XXX!0!0

# Spells level 2
;Scrolls1
1,baleful transposition (arcane)!S23!0!150
2,bear's endurance ([MC Common.Type])!P203!0!150
1,bless weapon (divine)!P205!0!100
2,bull's strength ([MC Common.Type])!P207!0!150
2,cat's grace ([MC Common.Type])!P208!0!150
3,cure moderate wounds (divine)!P216!0!150
1,darkvision (arcane)!P216!0!150
1,delay poison (divine)!P217!0!150
1,earthbind ([MC Common.Type])!S76!0!150
1,find traps (divine)!P230!0!150
1,ghost touch armor ([MC Common.Type])!S102!0!150
1,glitterdust (arcane)!P236!0!150
4,identify (arcane)!P243!0!125
2,invisibility (arcane)!P245!0!150
4,knock (arcane)!P246!0!150
3,remove paralysis (divine)!P271!0!150
3,resist energy ([MC Common.Type])!P272!0!150
2,lesser restoration (divine)!P272!0!150
1,see invisibility (arcane)!P275!0!150
1,silence (divine)!P279!0!150
1,nightsnare ([MC Common.Type])!WSkyF!0!150
1,plasma bolt (CL5; arcane)!WSkyF!0!125

# Spells level 0
# Spells level 1
;Wands1
4,detect magic (10 charges)!P219!0!75
3,light (10 charges)!P248!0!75
2,read magic (10 charges)!P269!0!75
1,benign transposition (10 charges)!S27!0!150
2,bless (10 charges)!P205!0!150
8,cure light wounds (10 charges)!P215!0!150
2,enlarge person (10 charges)!P226!0!150
1,lesser vigor (10 charges)!S229!0!150
4,mage armor (10 charges)!P249!0!150
6,magic missile (cl 1st, 10 charges)!P251!0!150
1,ray of enfeeblement (10 charges)!P269!0!150
1,repair light damage (10 charges)!S173!0!150
1,resurgence (10 charges)!S174!0!150
2,shield (10 charges)!P278!0!150
1,snake's swiftness (10 charges)!S193!0!150
1,stonefall (10 charges, [MC Common.Type])!WSkyF!0!150

# -----------------------------------------
# 174-400
;ItemLevel2
1,oil of [Oils2]
24,potion of [Potions2]
26,scroll of [Scrolls2]
#0,wand of [Wands2]
1,crystal of lifekeeping, least!M25!0!200
1,everfull mug!M160!0!200
1,quaal's feather token, fan!D264!0!200
1,skill shard, greater!M185!0!300
1,tanglepatch!M188!1!200
1,chain shirt, masterwork!P124!25!250
1,darkwood shield!D221!5!257
1,darkwood buckler!D221!2.5!205
1,crystal of aquatic action, least!M25!0!250
1,dust of tracelessness!D255!0!250
1,elixir of hiding!D255!0!250
1,elixir of sneaking!D255!0!250
1,elixir of swimming!D255!0!250
1,elixir of vision!D256!0!250
1,incense of concentration!M162!0!250
1,jumping caltrops!M162!2!250
1,safewing emblem!M131!0!250
1,silversheen!D266!0!250
1,crystal of adamant armor, least!M24!0!300
1,crystal of adamant weaponry, least!M64!0!300
1,blight stone!M153!1!300
1,crystal of return, least!M65!0!300
1,crystal of security, least!M65!0!300
1,crystal of stamina, least!M26!0!300
1,elixir of flaming fists!M159!0!300
1,fountainhead arrow!M52!0!306
1,quaal's feather token, bird!D264!0!300
1,stench stone!M186!0!300
1,screaming bolt!D227!0!267
3,masterwork weapon!M282!0!300
1,silver dagger, masterwork!D228!1!322
1,cold iron longsword, masterwork!D227!4!330
1,breastplate, masterwork!P124!30!350
2,everlasting rations!M160!2!350
1,amulet of toxin delay!M70!0!400
1,charm of countersong!M85!0!400
1,crystal of illumination, lesser!M64!0!400
1,crystal of life drinking, least!M64!0!400
1,crystal of screening, least!M26!0!400
2,electric eel elixir!M158!0!400
1,essentia jewel!M159!0!400
1,life ring!M163!5!400
2,quaal's feather token, tree!D264!0!400
1,revelation crystal, least!M66!0!400

;Oils2
# Oils worth 50 gp
1,darkness!P216!0!300

;Potions2
# Potions worth 300 gp
1,barkskin +2!P203!0!300
1,bear's endurance!P203!0!300
1,blur!P206!0!300
1,bull's strength!P207!0!300
1,cat's grace!P208!0!300
4,cure moderate wounds!P216!0!300
1,darkvision!P216!0!300
1,delay poison!P217!0!300
1,eagle's splendor!P225!0!300
1,fox's cunning!P233!0!300
1,invisibility!P245!0!300
2,lesser restoration!P272!0!300
1,levitate!P248!0!300
1,owl's wisdom!P259!0!300
2,remove paralysis!P271!0!300
2,resist energy ([MC Common.Energy]) 10!P272!0!300
1,shield of faith +3!P278!0!300
1,spider climb!P283!0!300

# Spells level 3
;Scrolls2
# Scrolls worth 175-375 gp
1,arcane lock (arcane)!P200!0!175
1,create food and water (divine)!P214!0!375
2,cure serious wounds (divine)!P216!0!375
1,daylight ([MC Common.Type])!P216!0!375
1,dispel magic ([MC Common.Type])!P223!0!375
1,fireball (arcane)!P231!0!375
1,fly (arcane)!P232!0!375
1,haste (arcane)!P239!0!375
1,invisibility purge (divine)!P245!0!375
1,lightning bolt (arcane)!P248!0!375
1,magic circle against chaos ([MC Common.Type])!P249!0!375
1,magic circle against evil ([MC Common.Type])!P249!0!375
1,magic circle against good ([MC Common.Type])!P250!0!375
1,magic circle against law ([MC Common.Type])!P250!0!375
1,neutralize poison (divine)!P257!0!375
1,protection from energy ([MC Common.Type])!P266!0!375
1,remove blindness/deafness (divine)!P270!0!375
1,remove curse (divine)!P270!0!375
1,remove disease (divine)!P271!0!375
1,mass snake's swiftness (divine)!S193!0!375
1,speak with dead (divine)!P281!0!375
1,tongues (arcane)!P294!0!375
1,vigor (divine)!S229!0!375
1,mass lesser vigor (divine)!S229!0!375
1,water breathing ([MC Common.Type])!P300!0!375
1,protection from plasma ([MC Common.Type])!WSkyF!0!375
1,stonefall (CL10; [MC Common.Type])!WSkyF!0!250

;Wands2
1,XXX!XXX!0!0

# -----------------------------------------
# MAX 800 gp
;ItemLevel3
3,oil of [Oils3]
19,potion of [Potions3]
17,scroll of [Scrolls3]
1,wand of [Wands3]
1,glitter stone!M161!0!450
1,quaal's feather token, swan boat!D264!0!450
1,amber amulet of vermin, giant bee!M68!0!500
1,amulet of aquatic salvation!M68!0!500
1,arcanist's gloves!M72!0!500
1,arrow (or bolt) of biting!M46!0!506
1,boots of landing!M77!1!500
1,brute gauntlets!M83!0!500
1,chronocharm of the celestial wanderer!M85!0!500
1,chronocharm of the fateweaver!M85!0!500
1,chronocharm of the grand master!M86!0!500
1,chronocharm of the horizon walker!M86!0!500
1,chronocharm of the laughing rogue!M86!0!500
1,chronocharm of the uncaring archmage!M86!0!500
1,crystal of energy assault, least!M64!0!600
1,clasp of energy protection, least!M24!0!500
1,crystal of adaptation, least!M24!0!500
1,crystal of arcane steel, least!M64!0!500
1,crystal of arrow deflection, least!M25!0!500
1,crystal of bent sight!M25!0!500
1,crystal of glancing blows, least!M25!0!500
1,crystal of mind cloaking, least!M25!0!500
1,dust of dispersion!M158!0!500
1,elixir of adamantine blood!M158!1!500
1,elixir of truth!D256!0!500
1,iron ward diamond, least!M26!0!500
1,magic bedroll!M163!6!500
1,phoenix ash threat, least!M65!0!500
1,quaal's feather token, whip!D264!0!500
1,reach gauntlets!M120!0!500
1,restful crystal!M26!0!500
1,rubicund frenzy, least!M26!0!500
1,shiftweave!M133!5!500
1,symbol of transfiguration!M139!0!500
1,talisman of the disk!M188!0!500
1,troll gut rope!M190!7!500
1,watch lamp!M147!0!500
1,necklace of copper dragon scales!M118!1!570
1,boots of agile leaping!M76!2!600
1,boots of stomping!M78!1!600
