# z_Fauna_Z1.tab
#
# This table is design to be called by other tables ONLY.
# Written by Michael Long  12/2001 (mlong7_99@yahoo.com)
#
######### Climate = 1-Artic(Polar)   ################
######### Season = 1-Winter          ################

:Start
1,This table is called from another one.

#Sea
;1_1_1
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Whale
10,Killer Whale
10,Narwhale
10,Dolphin
10,Squid
10,Beetle
10,Beetle Larva

#Coast
;1_1_2
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Beetle
10,Beetle Larva

#Desert
;1_1_3
10,---
10,Mouse
10,Beetle
10,Beetle Larva

#Forest
;1_1_4
10,---
10,Rat
10,Mouse
10,Rabbit
10,Beetle
10,Beetle Larva

#Plains
;1_1_5
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Polar Bear
10,Beetle
10,Beetle Larva

#Hills
;1_1_6
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Beetle
10,Beetle Larva

#Jungle
;1_1_7
10,---

#Mountains
;1_1_8
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Swamp
;1_1_9
10,---

#River
;1_1_10
10,---

#Rural
;1_1_11
10,---
10,Rat
10,Rabbit
10,Mouse
10,Beetle
10,Beetle Larva

#Underworld
;1_1_12
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Wasteland
;1_1_13
10,---
10,Mouse
10,Rat
10,Beetle
10,Beetle Larva

########### Season = 2-Spring          ################
#######################################################
#Sea
;1_2_1
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Whale
10,Killer Whale
10,Narwhale
10,Dolphin
10,Squid
10,Beetle
10,Beetle Larva

#Coast
;1_2_2
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Beetle
10,Beetle Larva

#Desert
;1_2_3
10,---
10,Mouse
10,Beetle
10,Beetle Larva

#Forest
;1_2_4
10,---
10,Rat
10,Mouse
10,Rabbit
10,Beetle
10,Beetle Larva

#Plains
;1_2_5
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Polar Bear
10,Beetle
10,Beetle Larva

#Hills
;1_2_6
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Beetle
10,Beetle Larva

#Jungle
;1_2_7
10,---

#Mountains
;1_2_8
10,---
10,Rat
10,Beetle
10,Beetle Larva

#Swamp
;1_2_9
10,---

#River
;1_2_10
10,---

#Rural
;1_2_11
10,---
10,Rat
10,Rabbit
10,Mouse
10,Beetle
10,Beetle Larva

#Underworld
;1_2_12
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Wasteland
;1_2_13
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

###################### Season = 3-Summer          ################
#Sea
;1_3_1
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Whale
10,Killer Whale
10,Narwhale
10,Dolphin
10,Squid
10,Beetle
10,Beetle Larva

#Coast
;1_3_2
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Beetle
10,Beetle Larva

#Desert
;1_3_3
10,---
10,Mouse
10,Beetle
10,Beetle Larva

#Forest
;1_3_4
10,---
10,Rat
10,Mouse
10,Rabbit
10,Beetle
10,Beetle Larva

#Plains
;1_3_5
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Polar Bear
10,Beetle
10,Beetle Larva

#Hills
;1_3_6
10,---
10,Rat
10,Rabbit
10,Fox
10,Beetle
10,Beetle Larva

#Jungle
;1_3_7
10,---

#Mountains
;1_3_8
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Swamp
;1_3_9
10,---

#River
;1_3_10
10,---

#Rural
;1_3_11
10,---
10,Rat
10,Rabbit
10,Mouse
10,Beetle
10,Beetle Larva

#Underworld
;1_3_12
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Wasteland
;1_3_13
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

###################### Season = 4-Autumn          ################
#Sea
;1_4_1
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Whale
10,Killer Whale
10,Narwhale
10,Dolphin
10,Squid
10,Beetle
10,Beetle Larva

#Coast
;1_4_2
10,---
10,Crab
10,Sea Lion
10,Sea Otter
10,Beetle
10,Beetle Larva

#Desert
;1_4_3
10,---
10,Mouse
10,Beetle
10,Beetle Larva

#Forest
;1_4_4
10,---
10,Rat
10,Mouse
10,Rabbit
10,Beetle
10,Beetle Larva

#Plains
;1_4_5
10,---
10,Rat
10,Mouse
10,Rabbit
10,Fox
10,Polar Bear
10,Beetle
10,Beetle Larva

#Hills
;1_4_6
10,---
10,Rat
10,Rabbit
10,Fox
10,Beetle
10,Beetle Larva

#Jungle
;1_4_7
10,---

#Mountains
;1_4_8
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Swamp
;1_4_9
10,---

#River
;1_4_10
10,---

#Rural
;1_4_11
10,---
10,Rat
10,Rabbit
10,Mouse
10,Beetle
10,Beetle Larva

#Underworld
;1_4_12
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva

#Wasteland
;1_4_13
10,---
10,Rat
10,Mouse
10,Beetle
10,Beetle Larva
