# z_Herbs_Z1.tab
#
# This table is design to be called by other tables ONLY.
#   Written by Michael Long  12/2001 (mlong7_99@yahoo.com)
#
##################  Climate = 1-Artic(Polar)                   ################
################################### Season = 1-Winter          ################

:Start
1,This table is called from another one.

#Sea
;1_1_1
10,---


#Coast
;1_1_2
10,---
10,Bittermourn
10,Olvar


#Desert
;1_1_3
10,---


#Forest
;1_1_4
10,---
10,Bittermourn
10,Oiolosse


#Plains
;1_1_5
10,---
10,Bittermourn


#Hills
;1_1_6
10,---
10,Bittermourn


#Jungle
;1_1_7
10,---

#Mountains
;1_1_8
10,---
10,Bittermourn
10,Palma Eldath

#Swamp
;1_1_9
10,---

#River
;1_1_10
10,---

#Rural
;1_1_11
10,---
10,Bittermourn


#Underworld
;1_1_12
10,---
10,Calcena Mushroom


#Wasteland
;1_1_13
10,---
10,Bittermourn
10,Kathkusa


################################### Season = 2-Spring          ################
#######################################################
#Sea
;1_2_1
10,---


#Coast
;1_2_2
10,---


#Desert
;1_2_3
10,---


#Forest
;1_2_4
10,---
10,Elvish Galingale


#Plains
;1_2_5
10,---


#Hills
;1_2_6
10,---


#Jungle
;1_2_7
10,---

#Mountains
;1_2_8
10,---
10,Palma Eldath


#Swamp
;1_2_9
10,---

#River
;1_2_10
10,---

#Rural
;1_2_11
10,---


#Underworld
;1_2_12
10,---
10,Calcena Mushroom


#Wasteland
;1_2_13
10,---


################################### Season = 3-Summer          ################
#Sea
;1_3_1
10,---


#Coast
;1_3_2
10,---


#Desert
;1_3_3
10,---


#Forest
;1_3_4
10,---
10,Elvish Galingale


#Plains
;1_3_5
10,---


#Hills
;1_3_6
10,---


#Jungle
;1_3_7
10,---

#Mountains
;1_3_8
10,---
10,Palma Eldath


#Swamp
;1_3_9
10,---

#River
;1_3_10
10,---

#Rural
;1_3_11
10,---


#Underworld
;1_3_12
10,---
10,Calcena Mushroom


#Wasteland
;1_3_13
10,---


################################### Season = 4-Autumn          ################
#Sea
;1_4_1
10,---


#Coast
;1_4_2
10,---


#Desert
;1_4_3
10,---


#Forest
;1_4_4
10,---


#Plains
;1_4_5
10,---


#Hills
;1_4_6
10,---


#Jungle
;1_4_7
10,---

#Mountains
;1_4_8
10,---
10,Palma Eldath
10,Jojojopo


#Swamp
;1_4_9
10,---

#River
;1_4_10
10,---

#Rural
;1_4_11
10,---


#Underworld
;1_4_12
10,---
10,Calcena Mushroom


#Wasteland
;1_4_13
10,---
